rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:16:06.97,318.85,-972.17,-64.45,6.10,0.79,-2.01,-140.70,-54.45,-50.70,33.68,118.14,
06/01/2021,01:16:07.02,311.04,-971.19,-60.55,4.02,0.61,-1.95,-139.50,-54.90,-49.65,33.64,118.14,
06/01/2021,01:16:07.04,311.04,-976.56,-74.22,5.85,-0.73,-1.65,-139.65,-53.25,-51.60,33.83,118.14,
06/01/2021,01:16:07.05,303.22,-980.47,-68.36,6.71,0.37,-1.46,-139.80,-52.35,-49.35,33.59,118.14,
06/01/2021,01:16:07.05,316.89,-978.03,-79.59,5.00,-0.67,-2.68,-139.80,-52.35,-49.35,33.68,118.14,
06/01/2021,01:16:07.07,306.64,-963.87,-70.80,4.57,-1.34,-3.29,-141.45,-51.75,-50.25,33.35,118.14,
06/01/2021,01:16:07.07,303.71,-973.14,-72.27,3.72,1.22,-0.37,-140.70,-53.55,-49.80,33.83,118.14,
06/01/2021,01:16:07.08,313.48,-966.31,-92.29,5.30,-1.71,-1.22,-140.70,-53.55,-49.80,33.64,118.14,
06/01/2021,01:16:07.08,311.04,-972.66,-82.03,4.94,5.24,-0.79,-140.70,-53.55,-49.80,33.78,118.14,
06/01/2021,01:16:07.09,313.48,-972.66,-75.20,3.54,0.79,0.37,-140.70,-53.55,-49.80,33.83,118.14,
06/01/2021,01:16:07.11,322.27,-980.96,-87.89,2.99,1.65,-2.87,-139.80,-53.70,-50.40,33.78,118.14,
06/01/2021,01:16:07.11,321.78,-988.77,-89.36,4.02,-0.37,-1.77,-139.80,-53.70,-50.40,33.59,118.14,
06/01/2021,01:16:07.12,323.73,-981.93,-77.64,5.55,-1.16,-0.91,-139.80,-53.70,-50.40,33.64,118.14,
06/01/2021,01:16:07.12,324.22,-981.93,-72.27,2.93,0.85,-0.18,-140.10,-52.65,-51.00,33.83,118.14,
06/01/2021,01:16:07.13,315.43,-965.33,-81.54,3.96,-0.73,0.00,-140.10,-52.65,-51.00,33.68,118.14,
06/01/2021,01:16:07.14,321.29,-980.47,-72.75,4.27,0.91,-1.52,-139.50,-51.60,-52.20,33.88,118.14,
06/01/2021,01:16:07.15,323.24,-983.40,-80.08,4.63,2.62,-1.28,-139.50,-51.60,-52.20,33.88,118.14,
06/01/2021,01:16:07.16,322.27,-990.72,-69.82,2.20,0.18,-1.10,-140.85,-53.10,-50.70,33.78,118.14,
06/01/2021,01:16:07.16,329.59,-967.77,-79.10,0.18,-1.10,-1.40,-139.50,-53.40,-52.20,33.68,118.14,
06/01/2021,01:16:07.17,311.52,-994.14,-70.31,3.11,0.49,-1.46,-139.50,-53.40,-52.20,33.83,118.14,
06/01/2021,01:16:07.17,331.05,-977.05,-66.89,2.93,-2.50,-0.37,-139.50,-53.10,-51.00,33.88,118.14,
06/01/2021,01:16:07.19,308.11,-974.61,-84.96,2.87,0.91,-2.13,-139.05,-51.90,-51.45,33.88,118.14,
06/01/2021,01:16:07.20,325.20,-982.42,-68.85,0.37,0.49,-2.13,-141.45,-55.50,-49.05,33.83,118.14,
06/01/2021,01:16:07.20,325.20,-976.07,-69.34,2.26,0.55,-1.46,-138.00,-53.40,-51.75,33.97,118.14,
06/01/2021,01:16:07.21,328.12,-973.63,-71.78,0.18,2.01,-2.99,-138.00,-53.40,-51.75,33.64,118.14,
06/01/2021,01:16:07.21,335.94,-976.56,-77.15,1.34,-1.10,-2.07,-139.95,-52.80,-51.60,33.68,118.14,
06/01/2021,01:16:07.23,331.05,-976.56,-65.92,-0.91,-0.73,-0.55,-139.05,-53.10,-50.70,33.83,118.14,
06/01/2021,01:16:07.23,313.96,-973.14,-69.82,-0.61,1.89,-5.67,-140.55,-54.90,-49.95,33.68,118.14,
06/01/2021,01:16:07.24,331.05,-978.03,-61.04,3.05,-0.91,-2.93,-140.55,-54.90,-49.95,33.78,118.14,
06/01/2021,01:16:07.25,318.85,-973.63,-55.18,0.79,0.67,-1.52,-140.55,-54.90,-49.95,33.83,118.14,
06/01/2021,01:16:07.25,317.38,-980.96,-64.45,1.52,2.20,0.37,-139.05,-52.65,-51.45,33.59,118.14,
06/01/2021,01:16:07.27,335.94,-981.93,-57.62,0.79,2.93,0.49,-139.05,-53.10,-51.00,33.78,118.14,
06/01/2021,01:16:07.27,316.41,-979.49,-50.29,0.12,1.40,-2.68,-139.05,-53.10,-51.00,33.64,118.14,
06/01/2021,01:16:07.28,325.20,-964.36,-49.80,0.30,2.50,-3.05,-139.05,-53.10,-51.00,33.88,118.14,
06/01/2021,01:16:07.29,326.66,-965.82,-55.18,1.34,1.28,-3.11,-139.05,-52.65,-51.45,33.59,118.14,
06/01/2021,01:16:07.29,311.04,-967.77,-60.55,1.83,-0.49,-0.12,-139.95,-51.00,-52.65,33.83,118.14,
06/01/2021,01:16:07.31,317.87,-975.10,-61.04,0.98,0.61,-1.65,-139.95,-51.00,-52.65,33.64,118.14,
06/01/2021,01:16:07.31,325.68,-974.61,-54.20,0.61,1.34,-0.43,-140.85,-52.65,-49.35,34.02,118.14,
06/01/2021,01:16:07.32,318.36,-978.03,-55.66,-0.24,0.98,-2.13,-140.85,-52.65,-49.35,33.49,118.14,
06/01/2021,01:16:07.32,328.12,-975.10,-43.46,0.00,-0.37,-0.12,-139.20,-52.80,-51.90,33.64,118.14,
06/01/2021,01:16:07.33,318.85,-976.07,-56.15,1.16,-0.49,-0.91,-139.65,-53.55,-50.85,33.83,118.14,
06/01/2021,01:16:07.35,317.87,-974.61,-45.90,2.74,-0.18,0.06,-138.90,-53.25,-50.25,33.83,118.14,
06/01/2021,01:16:07.35,329.59,-971.68,-43.95,1.89,-1.28,0.79,-140.70,-52.80,-47.70,33.97,118.14,
06/01/2021,01:16:07.36,316.41,-976.56,-40.53,2.32,-1.04,0.67,-140.70,-52.80,-47.70,33.83,118.14,
06/01/2021,01:16:07.36,318.85,-973.63,-52.73,0.61,3.41,1.40,-139.20,-53.55,-51.60,33.68,118.14,
