rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:15:06.39,335.94,-974.61,-83.50,2.74,-2.87,-3.41,-171.75,-40.20,-39.60,33.83,118.15,
06/01/2021,01:15:06.44,327.64,-962.89,-87.40,0.55,0.06,-1.04,-172.20,-41.85,-39.00,33.44,118.15,
06/01/2021,01:15:06.45,332.03,-968.75,-90.82,2.74,-1.95,0.37,-171.60,-39.30,-39.75,33.59,118.15,
06/01/2021,01:15:06.46,346.68,-954.10,-77.64,2.07,-5.30,1.22,-171.60,-39.30,-39.75,33.78,118.15,
06/01/2021,01:15:06.47,338.38,-956.54,-94.24,1.71,-2.93,-1.10,-171.60,-39.30,-40.05,33.64,118.15,
06/01/2021,01:15:06.48,349.12,-957.52,-93.75,1.46,-5.67,-0.30,-170.85,-39.30,-40.50,33.64,118.15,
06/01/2021,01:15:06.49,344.24,-964.84,-82.52,0.18,0.43,-2.01,-170.85,-39.30,-40.50,33.78,118.15,
06/01/2021,01:15:06.49,339.36,-970.21,-79.10,-0.67,-3.84,-1.52,-168.60,-40.35,-41.85,33.68,118.15,
06/01/2021,01:15:06.50,340.82,-962.40,-90.33,1.59,-2.07,-0.43,-168.60,-40.35,-41.85,33.64,118.15,
06/01/2021,01:15:06.51,355.47,-960.45,-78.61,1.22,-2.32,1.28,-169.95,-39.75,-42.00,33.59,118.15,
06/01/2021,01:15:06.52,347.66,-953.61,-81.54,-0.85,0.18,-0.24,-170.25,-38.10,-42.90,33.88,118.15,
06/01/2021,01:15:06.53,329.59,-953.61,-88.87,-1.34,0.61,-1.59,-170.25,-40.50,-39.60,33.88,118.15,
06/01/2021,01:15:06.53,348.14,-954.10,-82.03,0.85,-1.34,0.00,-170.70,-38.25,-42.00,33.64,118.15,
06/01/2021,01:15:06.54,340.82,-968.75,-88.38,0.85,0.55,-1.46,-170.70,-38.25,-42.00,33.88,118.15,
06/01/2021,01:15:06.54,351.07,-966.80,-75.68,-1.77,2.20,-0.73,-170.70,-38.25,-42.00,33.78,118.15,
06/01/2021,01:15:06.56,356.45,-957.03,-78.12,-0.06,0.67,1.16,-169.05,-39.60,-42.60,33.64,118.15,
06/01/2021,01:15:06.57,354.49,-959.47,-73.73,0.43,1.40,-0.49,-171.90,-41.55,-40.50,33.68,118.15,
06/01/2021,01:15:06.57,365.23,-958.01,-72.27,0.49,-1.77,0.12,-171.90,-41.55,-40.50,33.64,118.15,
06/01/2021,01:15:06.58,354.98,-966.80,-60.55,-0.12,0.06,1.10,-171.90,-41.55,-40.50,33.88,118.15,
06/01/2021,01:15:06.58,370.12,-960.94,-69.34,0.98,-2.07,2.44,-169.80,-38.85,-41.55,33.83,118.15,
06/01/2021,01:15:06.59,364.26,-955.57,-73.24,-0.24,-0.61,3.35,-169.80,-38.85,-41.55,33.83,118.15,
06/01/2021,01:15:06.61,349.61,-962.40,-83.50,0.37,-1.04,-2.32,-169.35,-38.85,-43.35,33.64,118.15,
06/01/2021,01:15:06.61,358.89,-969.73,-85.45,2.01,-1.77,4.39,-172.20,-39.30,-39.45,33.49,118.15,
06/01/2021,01:15:06.62,359.38,-952.15,-73.24,0.85,-2.93,3.96,-172.20,-39.30,-39.45,33.68,118.15,
06/01/2021,01:15:06.62,350.10,-961.43,-87.40,1.16,-3.84,1.46,-169.95,-39.45,-42.00,33.97,118.15,
06/01/2021,01:15:06.63,344.73,-948.24,-85.45,0.06,0.30,1.40,-169.95,-39.45,-42.00,33.68,118.15,
06/01/2021,01:15:06.64,372.07,-962.40,-93.26,0.98,-2.87,5.06,-170.10,-39.30,-40.05,33.83,118.15,
06/01/2021,01:15:06.65,370.61,-960.45,-82.03,-2.74,-1.77,4.33,-171.00,-39.45,-40.65,33.64,118.15,
06/01/2021,01:15:06.66,368.65,-954.59,-81.05,-0.67,-5.00,2.20,-171.00,-39.45,-40.65,33.49,118.15,
06/01/2021,01:15:06.66,368.16,-953.61,-84.96,-0.61,-4.15,0.24,-170.25,-37.95,-42.45,33.64,118.15,
06/01/2021,01:15:06.67,373.05,-944.34,-69.34,-0.06,-1.22,-0.43,-170.25,-37.95,-42.45,33.78,118.15,
06/01/2021,01:15:06.68,368.65,-956.05,-94.24,-1.65,-0.85,0.79,-171.75,-39.45,-39.15,33.83,118.15,
06/01/2021,01:15:06.69,360.84,-959.47,-77.64,-2.20,-3.05,-1.95,-171.75,-39.45,-39.15,33.64,118.15,
06/01/2021,01:15:06.70,356.93,-962.40,-96.68,-0.30,-0.91,0.61,-170.85,-39.30,-41.55,33.97,118.15,
06/01/2021,01:15:06.70,359.86,-956.54,-83.01,-0.73,-2.07,-0.98,-170.85,-39.30,-41.55,33.78,118.15,
06/01/2021,01:15:06.71,352.54,-959.96,-89.84,-1.89,0.49,1.83,-170.85,-39.30,-41.55,33.97,118.15,
06/01/2021,01:15:06.72,370.12,-968.26,-93.75,-1.89,-0.06,-0.30,-171.30,-39.00,-41.70,33.78,118.15,
06/01/2021,01:15:06.73,358.40,-965.33,-85.94,-0.61,-0.49,-2.87,-171.30,-39.00,-41.70,33.78,118.15,
06/01/2021,01:15:06.73,364.26,-953.12,-93.75,-2.68,1.59,-1.95,-171.30,-39.00,-41.70,33.30,118.15,
06/01/2021,01:15:06.74,363.28,-948.24,-77.64,-0.24,-2.20,-0.79,-169.50,-37.95,-42.45,33.68,118.15,
06/01/2021,01:15:06.75,366.70,-963.38,-81.54,-2.74,-0.91,-2.87,-169.50,-37.95,-42.45,33.64,118.15,
06/01/2021,01:15:06.76,359.38,-948.73,-70.31,-1.16,2.50,-2.01,-168.90,-38.70,-41.40,33.59,118.15,
06/01/2021,01:15:06.77,362.79,-969.24,-73.73,-2.07,2.01,0.37,-168.90,-38.70,-41.40,33.78,118.15,
06/01/2021,01:15:06.77,365.23,-959.47,-81.54,-3.05,0.91,-3.05,-170.40,-39.30,-42.60,33.88,118.15,
06/01/2021,01:15:06.78,360.35,-967.77,-82.03,-0.18,1.40,-3.35,-170.40,-37.35,-41.10,33.68,118.15,
06/01/2021,01:15:06.79,347.17,-966.80,-84.47,-2.38,-0.73,-0.55,-170.40,-37.35,-41.10,33.83,118.15,
06/01/2021,01:15:06.79,364.75,-961.91,-81.05,-1.71,1.65,-0.24,-170.40,-39.60,-40.80,33.68,118.15,
06/01/2021,01:15:06.81,359.38,-966.80,-82.03,-0.30,2.20,-0.18,-169.20,-40.20,-41.40,33.97,118.15,
06/01/2021,01:15:06.81,350.59,-947.75,-84.96,-1.59,3.78,-0.79,-172.20,-43.35,-38.70,33.88,118.15,
06/01/2021,01:15:06.82,359.38,-946.29,-77.15,-1.28,1.77,-2.26,-171.00,-38.70,-40.95,33.64,118.15,
06/01/2021,01:15:06.83,354.49,-956.05,-73.24,-0.67,2.99,-4.94,-171.00,-38.70,-40.95,33.83,118.15,
06/01/2021,01:15:06.83,337.40,-962.89,-86.91,-1.16,3.11,-0.18,-170.85,-40.80,-42.60,33.88,118.15,
06/01/2021,01:15:06.85,349.12,-963.38,-74.22,-1.89,4.63,-0.30,-169.95,-38.25,-41.40,33.64,118.15,
06/01/2021,01:15:06.85,334.96,-960.94,-78.12,0.24,1.46,-1.77,-170.40,-41.55,-38.70,33.88,118.15,
06/01/2021,01:15:06.86,340.82,-963.38,-57.62,-0.91,2.20,1.52,-170.40,-41.55,-38.70,33.78,118.15,
06/01/2021,01:15:06.86,337.40,-959.47,-71.29,-0.18,0.06,-0.79,-170.40,-41.55,-38.70,33.68,118.15,
06/01/2021,01:15:06.87,353.52,-957.52,-68.36,-3.41,1.89,-0.55,-169.20,-39.45,-43.05,33.83,118.15,
06/01/2021,01:15:06.89,344.24,-958.98,-83.50,2.01,-0.79,0.30,-170.10,-38.55,-41.10,33.64,118.15,
06/01/2021,01:15:06.89,351.56,-953.12,-74.71,-0.37,2.13,1.95,-170.10,-38.55,-41.10,34.02,118.15,
06/01/2021,01:15:06.90,351.07,-958.01,-85.45,-1.04,1.22,2.74,-170.10,-38.55,-41.10,33.88,118.15,
06/01/2021,01:15:06.93,348.63,-955.57,-94.73,0.67,0.85,-0.06,-171.60,-40.35,-40.05,33.78,118.15,
06/01/2021,01:15:06.95,355.96,-954.10,-90.82,1.28,-1.04,2.68,-171.30,-39.45,-40.95,33.59,118.15,
06/01/2021,01:15:06.96,352.05,-958.98,-100.59,-0.30,-0.12,1.28,-171.00,-39.00,-40.65,33.68,118.15,
06/01/2021,01:15:06.97,358.89,-953.61,-88.38,0.67,2.07,-0.24,-171.00,-39.00,-40.65,33.59,118.15,
