rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:13:05.24,-261.23,770.51,-540.53,2.26,2.13,3.17,-102.60,-13.95,-40.80,33.78,118.19,
06/01/2021,01:13:05.29,-270.02,771.97,-564.94,5.55,-6.52,4.82,-100.50,-12.00,-42.15,33.88,118.19,
06/01/2021,01:13:05.31,-265.62,785.64,-574.71,4.09,1.22,4.39,-100.05,-10.50,-41.55,33.97,118.19,
06/01/2021,01:13:05.31,-264.16,778.81,-570.80,3.17,1.89,1.46,-100.50,-13.20,-41.55,33.83,118.19,
06/01/2021,01:13:05.32,-266.60,780.27,-576.17,3.35,5.43,4.27,-99.00,-11.25,-42.60,33.88,118.19,
06/01/2021,01:13:05.34,-260.74,776.86,-571.78,1.89,6.22,1.59,-99.00,-12.45,-40.80,33.64,118.19,
06/01/2021,01:13:05.34,-254.39,786.13,-561.52,2.07,8.84,-0.79,-99.15,-12.90,-41.70,33.88,118.19,
06/01/2021,01:13:05.35,-263.18,775.88,-579.10,2.01,7.87,2.07,-99.15,-12.90,-41.70,33.88,118.19,
06/01/2021,01:13:05.35,-251.95,777.34,-552.25,1.89,7.50,1.71,-97.50,-11.25,-41.10,33.88,118.19,
06/01/2021,01:13:05.36,-249.51,777.83,-555.18,3.29,3.54,1.71,-97.50,-11.25,-41.10,33.83,118.19,
06/01/2021,01:13:05.37,-257.81,771.48,-553.71,2.93,0.06,-0.98,-99.15,-13.35,-41.70,33.78,118.19,
06/01/2021,01:13:05.38,-240.72,774.90,-543.95,4.51,-2.20,-0.06,-100.95,-11.85,-41.40,33.97,118.19,
06/01/2021,01:13:05.39,-249.51,773.44,-560.06,2.62,0.79,1.28,-100.95,-11.85,-41.40,33.83,118.19,
06/01/2021,01:13:05.39,-237.30,781.74,-554.20,1.77,-3.23,0.49,-100.95,-11.85,-41.40,33.68,118.19,
06/01/2021,01:13:05.40,-248.54,777.34,-563.96,3.11,-6.89,1.04,-100.95,-11.85,-41.40,34.12,118.19,
06/01/2021,01:13:05.40,-262.70,781.74,-572.75,3.54,-7.07,1.34,-98.70,-12.00,-41.55,33.88,118.19,
06/01/2021,01:13:05.42,-265.14,774.90,-570.31,1.52,-3.90,-0.30,-99.60,-11.10,-42.75,33.88,118.19,
06/01/2021,01:13:05.43,-264.65,769.04,-589.36,3.35,-1.71,-1.52,-99.60,-11.10,-42.75,33.83,118.19,
06/01/2021,01:13:05.43,-261.23,777.83,-574.22,3.17,-2.50,0.79,-99.60,-9.30,-42.75,33.68,118.19,
06/01/2021,01:13:05.44,-252.44,755.86,-570.80,0.18,2.80,-0.49,-99.60,-9.30,-42.75,33.88,118.19,
06/01/2021,01:13:05.44,-252.93,767.09,-574.71,-0.24,-1.89,-0.24,-98.85,-12.60,-42.75,33.78,118.19,
