rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:12:04.68,-285.16,817.87,-484.86,2.56,-5.06,-0.85,-98.25,-12.75,-37.65,34.02,118.24,
06/01/2021,01:12:04.74,-314.94,813.96,-452.15,4.70,-6.83,4.57,-98.10,-11.55,-36.75,33.88,118.24,
06/01/2021,01:12:04.76,-300.29,800.29,-449.71,5.12,-2.80,2.20,-100.05,-12.00,-37.65,33.88,118.24,
06/01/2021,01:12:04.76,-300.29,821.78,-458.01,6.83,-1.71,2.62,-99.90,-11.10,-37.05,33.83,118.24,
06/01/2021,01:12:04.77,-288.09,811.52,-454.10,5.24,-3.78,2.38,-96.45,-10.50,-38.25,33.97,118.24,
06/01/2021,01:12:04.78,-314.45,789.06,-458.98,6.83,0.30,5.30,-96.15,-10.95,-39.00,34.16,118.24,
06/01/2021,01:12:04.79,-320.31,801.76,-464.84,4.76,-3.48,4.09,-99.30,-10.50,-37.20,33.64,118.24,
06/01/2021,01:12:04.80,-311.04,796.88,-464.84,7.26,-2.56,5.00,-99.30,-10.50,-37.20,33.83,118.24,
06/01/2021,01:12:04.80,-319.34,789.55,-467.77,4.82,-2.01,5.06,-97.50,-8.70,-38.70,33.83,118.24,
06/01/2021,01:12:04.81,-312.99,794.43,-469.24,5.79,-0.12,3.41,-98.25,-10.95,-39.45,34.02,118.24,
06/01/2021,01:12:04.82,-298.83,793.95,-465.33,5.49,-1.46,5.37,-97.95,-9.45,-39.45,33.88,118.24,
06/01/2021,01:12:04.83,-297.85,796.88,-470.21,5.79,-1.10,7.87,-99.00,-11.25,-37.65,33.88,118.24,
06/01/2021,01:12:04.83,-299.80,783.69,-457.52,6.71,-1.52,6.95,-99.00,-11.25,-37.65,33.78,118.24,
06/01/2021,01:12:04.84,-285.64,791.02,-461.91,5.98,-1.28,8.11,-99.00,-11.25,-37.65,33.78,118.24,
06/01/2021,01:12:04.85,-290.04,799.32,-471.68,6.77,-2.74,9.21,-99.00,-11.25,-37.65,33.88,118.24,
06/01/2021,01:12:04.85,-291.02,788.57,-472.66,6.59,-0.91,8.41,-98.10,-10.35,-40.20,33.88,118.24,
06/01/2021,01:12:04.87,-306.15,772.95,-477.05,7.80,-0.98,9.94,-98.10,-9.30,-40.20,34.12,118.24,
06/01/2021,01:12:04.87,-287.60,770.02,-493.16,7.87,-1.65,10.85,-98.10,-9.30,-40.20,33.83,118.24,
06/01/2021,01:12:04.88,-302.25,763.67,-484.86,9.45,-1.71,14.57,-97.95,-10.95,-39.45,33.88,118.24,
06/01/2021,01:12:04.88,-292.48,766.60,-477.54,9.63,-1.22,13.48,-97.95,-10.95,-39.45,34.12,118.24,
06/01/2021,01:12:04.89,-290.53,754.88,-495.12,8.41,-1.59,14.51,-97.50,-9.00,-39.45,34.02,118.24,
06/01/2021,01:12:04.91,-305.66,738.28,-478.52,10.24,1.10,17.56,-99.30,-10.95,-37.95,33.78,118.24,
06/01/2021,01:12:04.91,-297.85,749.51,-492.19,11.16,3.54,18.41,-99.30,-10.95,-37.95,33.88,118.24,
