rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:00:59.33,631.84,383.79,640.14,1.34,0.55,-0.30,-141.45,11.85,-22.95,33.68,118.96,
06/01/2021,01:00:59.39,627.44,390.14,645.02,1.40,-0.79,0.49,-144.45,10.95,-22.05,33.64,118.95,
06/01/2021,01:00:59.40,648.93,376.46,646.97,-0.12,1.40,-1.52,-143.25,10.80,-22.65,33.64,118.95,
06/01/2021,01:00:59.41,639.16,392.09,633.79,1.34,-1.22,0.67,-143.25,10.80,-22.65,33.49,118.95,
06/01/2021,01:00:59.41,628.42,383.30,641.11,1.40,-2.99,-1.04,-141.75,12.90,-24.00,33.83,118.95,
06/01/2021,01:00:59.43,634.77,378.42,623.54,0.67,-2.50,-1.34,-141.60,13.20,-23.85,33.68,118.95,
06/01/2021,01:00:59.43,626.95,364.26,647.95,0.12,-0.73,1.40,-142.80,12.15,-23.25,33.68,118.95,
06/01/2021,01:00:59.44,645.51,378.91,644.04,1.10,-7.26,-0.79,-142.20,12.60,-23.25,33.68,118.95,
06/01/2021,01:00:59.45,635.25,377.93,640.62,0.18,-0.67,0.18,-142.20,12.60,-23.25,33.78,118.95,
06/01/2021,01:00:59.45,628.91,388.67,632.32,0.55,-1.04,-0.85,-141.45,11.55,-23.70,33.49,118.95,
06/01/2021,01:00:59.47,641.60,388.67,628.42,-1.04,-0.24,-0.37,-141.45,11.55,-23.70,33.78,118.95,
06/01/2021,01:00:59.47,624.02,382.81,641.60,0.18,-1.40,-3.23,-144.00,10.35,-21.45,33.78,118.95,
06/01/2021,01:00:59.48,633.79,383.30,643.07,-1.04,-1.83,1.65,-142.20,12.60,-23.70,33.78,118.95,
06/01/2021,01:00:59.49,640.62,371.58,639.65,-0.12,-0.98,0.18,-142.20,12.60,-23.70,33.68,118.96,
06/01/2021,01:00:59.49,642.09,373.05,637.70,1.40,0.18,0.73,-142.20,12.60,-23.70,33.88,118.96,
06/01/2021,01:00:59.50,643.07,383.30,639.16,1.77,1.65,2.13,-142.20,12.60,-23.70,33.83,118.96,
06/01/2021,01:00:59.51,637.21,378.42,640.62,1.83,-0.79,-0.30,-142.50,11.55,-22.20,33.78,118.95,
06/01/2021,01:00:59.52,620.61,369.63,634.77,0.61,-4.45,2.32,-142.50,11.55,-22.20,33.59,118.96,
06/01/2021,01:00:59.52,636.23,382.32,632.81,0.43,-2.01,2.26,-142.50,11.55,-22.20,33.83,118.96,
06/01/2021,01:00:59.53,636.23,373.05,634.77,0.37,-0.91,-1.04,-142.20,12.90,-23.70,33.68,118.96,
06/01/2021,01:00:59.54,633.30,382.81,646.00,0.24,-1.59,1.04,-142.20,12.90,-23.70,33.88,118.96,
06/01/2021,01:00:59.55,639.16,389.16,644.04,-0.06,-2.01,-2.20,-144.00,12.60,-22.65,33.78,118.96,
06/01/2021,01:00:59.56,642.58,379.88,646.00,0.85,-4.63,0.24,-144.00,12.60,-22.65,33.59,118.96,
06/01/2021,01:00:59.56,638.67,388.67,637.21,2.87,-2.74,0.49,-143.10,12.00,-22.80,33.59,118.96,
06/01/2021,01:00:59.57,636.72,368.65,649.90,0.55,-0.43,-1.71,-142.35,13.20,-24.90,33.78,118.96,
06/01/2021,01:00:59.58,635.25,383.30,637.70,-0.30,-2.13,-1.28,-142.35,13.20,-24.90,33.78,118.96,
06/01/2021,01:00:59.59,630.37,380.37,651.37,2.68,-1.95,-0.18,-142.80,11.85,-24.00,33.78,118.96,
06/01/2021,01:00:59.60,634.77,385.74,630.37,0.30,1.34,-0.85,-142.80,11.85,-24.00,33.97,118.96,
06/01/2021,01:00:59.60,631.35,377.44,633.30,1.28,0.67,0.55,-141.45,12.15,-24.00,33.68,118.96,
06/01/2021,01:00:59.61,628.91,382.81,646.00,0.98,-1.16,-1.04,-141.45,12.60,-24.30,33.64,118.96,
