rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:58:58.53,445.31,-690.43,-614.75,4.09,-0.67,0.98,-168.30,-56.70,-22.35,33.06,119.02,
06/01/2021,00:58:58.58,444.34,-706.54,-628.42,4.51,-2.13,1.40,-167.10,-57.75,-23.70,33.35,119.01,
06/01/2021,00:58:58.60,427.73,-695.31,-609.86,5.06,-0.30,-0.12,-167.10,-57.75,-23.70,33.25,119.01,
06/01/2021,00:58:58.60,430.18,-696.29,-623.54,3.66,-0.79,2.68,-168.00,-55.20,-22.35,33.25,119.01,
06/01/2021,00:58:58.61,430.66,-697.75,-625.00,3.23,-1.10,-0.18,-168.00,-55.20,-22.35,33.35,119.01,
06/01/2021,00:58:58.62,440.92,-688.48,-625.00,3.35,0.49,1.34,-168.90,-55.50,-21.45,33.11,119.01,
06/01/2021,00:58:58.63,423.83,-714.84,-626.46,3.72,2.20,0.12,-168.90,-55.50,-21.45,33.11,119.01,
06/01/2021,00:58:58.64,437.01,-703.61,-620.12,3.05,0.30,2.38,-167.10,-55.05,-23.70,33.16,119.01,
06/01/2021,00:58:58.64,421.88,-699.71,-609.38,2.56,-2.01,0.37,-167.10,-55.50,-23.25,33.11,119.01,
06/01/2021,00:58:58.65,426.27,-692.87,-616.70,1.40,-0.30,-1.22,-167.10,-55.50,-23.25,33.11,119.01,
06/01/2021,00:58:58.66,429.69,-715.33,-613.77,4.76,0.61,0.18,-165.60,-55.05,-24.00,33.11,119.01,
06/01/2021,00:58:58.67,430.18,-703.61,-618.65,3.48,-1.10,1.71,-165.60,-55.05,-24.00,33.35,119.01,
06/01/2021,00:58:58.67,428.22,-704.10,-630.86,3.17,-2.44,1.95,-167.40,-55.50,-21.90,33.11,119.01,
06/01/2021,00:58:58.68,441.89,-693.85,-625.49,4.45,2.32,-0.24,-167.10,-54.30,-22.95,33.11,119.01,
06/01/2021,00:58:58.69,434.57,-690.43,-624.51,3.05,0.18,-0.18,-167.10,-54.30,-22.95,33.11,119.01,
06/01/2021,00:58:58.70,435.06,-702.64,-618.65,2.68,1.77,-0.67,-167.55,-54.90,-22.35,33.30,119.01,
06/01/2021,00:58:58.71,437.99,-702.15,-612.79,3.35,-2.01,-0.49,-167.55,-54.90,-22.35,33.30,119.01,
06/01/2021,00:58:58.71,423.34,-699.71,-612.79,2.07,0.30,-0.49,-168.30,-55.95,-21.30,33.25,119.01,
06/01/2021,00:58:58.72,415.04,-697.75,-614.75,1.46,1.77,-0.49,-168.30,-55.95,-21.30,33.35,119.01,
06/01/2021,00:58:58.73,427.25,-696.29,-612.30,1.52,2.38,1.16,-168.30,-55.95,-21.30,33.25,119.01,
06/01/2021,00:58:58.73,439.45,-690.92,-622.56,2.87,-0.61,2.13,-165.75,-56.70,-24.15,33.11,119.01,
06/01/2021,00:58:58.75,438.96,-696.29,-627.44,0.67,1.77,-0.79,-168.30,-54.90,-24.15,33.30,119.01,
06/01/2021,00:58:58.75,425.78,-706.05,-621.09,1.52,-0.49,-1.46,-168.30,-54.90,-24.15,33.25,119.01,
06/01/2021,00:58:58.76,434.57,-707.03,-626.95,1.34,0.12,-0.43,-167.10,-55.05,-24.00,33.25,119.01,
06/01/2021,00:58:58.77,422.85,-710.94,-629.88,2.01,-2.13,-1.10,-167.10,-55.05,-24.00,33.16,119.01,
06/01/2021,00:58:58.77,435.55,-704.59,-615.72,2.74,0.55,-1.10,-165.90,-55.50,-25.35,32.97,119.01,
06/01/2021,00:58:58.79,423.83,-713.38,-613.77,3.05,-4.39,0.73,-167.40,-55.80,-24.00,33.35,119.01,
06/01/2021,00:58:58.79,424.32,-697.75,-621.58,4.45,-1.83,2.50,-169.20,-57.00,-20.85,33.35,119.01,
06/01/2021,00:58:58.80,431.64,-699.22,-605.96,2.80,-1.04,0.18,-165.90,-54.30,-24.00,33.35,119.01,
06/01/2021,00:58:58.80,432.13,-692.38,-623.05,3.05,-1.83,-1.10,-165.90,-54.30,-24.00,33.06,119.01,
06/01/2021,00:58:58.81,428.22,-707.52,-627.44,2.44,1.16,-1.65,-167.55,-55.95,-23.40,33.06,119.01,
06/01/2021,00:58:58.83,435.55,-690.92,-625.98,2.44,-1.28,0.61,-167.55,-55.95,-23.40,33.30,119.01,
06/01/2021,00:58:58.83,439.45,-699.22,-611.33,0.37,-0.67,0.49,-169.80,-56.70,-22.80,32.92,119.01,
06/01/2021,00:58:58.84,442.87,-696.78,-620.61,0.55,-1.59,-0.91,-165.75,-54.15,-23.40,33.11,119.01,
06/01/2021,00:58:58.84,430.66,-700.20,-612.30,2.80,-2.38,-0.73,-165.75,-54.15,-23.40,33.16,119.01,
06/01/2021,00:58:58.85,427.73,-714.36,-609.38,1.65,-1.22,-0.43,-165.75,-54.15,-23.40,33.06,119.01,
06/01/2021,00:58:58.87,429.69,-708.01,-608.89,1.95,-1.28,1.59,-165.75,-56.40,-23.10,33.06,119.01,
06/01/2021,00:58:58.87,430.66,-706.54,-613.77,1.95,-3.72,0.18,-167.40,-56.25,-21.15,33.16,119.01,
06/01/2021,00:58:58.88,432.13,-694.82,-619.14,2.07,-0.55,-0.91,-167.40,-56.25,-21.15,33.25,119.01,
06/01/2021,00:58:58.88,435.55,-696.78,-621.09,1.28,-0.30,-0.37,-167.40,-56.25,-21.15,33.35,119.01,
06/01/2021,00:58:58.89,430.66,-694.82,-629.39,3.66,0.24,0.43,-167.25,-55.95,-23.40,33.30,119.01,
06/01/2021,00:58:58.90,437.50,-698.73,-615.72,0.55,0.30,1.34,-166.50,-55.95,-24.45,33.11,119.01,
06/01/2021,00:58:58.91,424.32,-705.08,-610.84,1.46,-3.96,-0.67,-167.55,-55.95,-22.05,33.25,119.01,
06/01/2021,00:58:58.92,423.34,-706.05,-612.30,1.04,-1.28,-1.89,-167.55,-55.95,-22.05,33.16,119.01,
06/01/2021,00:58:58.92,425.29,-699.22,-619.14,0.12,1.83,-2.26,-167.25,-56.40,-24.15,33.30,119.01,
