rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:59:58.92,454.10,-685.55,-636.72,0.79,-2.38,-1.52,-170.70,-54.75,-23.70,33.35,118.91,
06/01/2021,00:59:58.92,457.52,-688.96,-634.77,-0.49,-0.91,-2.20,-170.70,-54.75,-23.70,33.44,118.91,
06/01/2021,00:59:58.93,448.24,-689.94,-627.44,2.38,-1.28,1.40,-170.70,-54.75,-23.70,33.30,118.91,
06/01/2021,00:59:58.94,440.43,-667.48,-623.05,-0.12,-0.91,-0.49,-168.30,-53.10,-24.15,33.35,118.91,
06/01/2021,00:59:58.94,450.68,-677.73,-631.84,2.38,-1.71,-1.83,-168.15,-54.75,-24.30,33.35,118.91,
06/01/2021,00:59:58.96,455.08,-665.04,-637.21,1.10,0.37,-0.91,-168.15,-54.75,-24.30,33.49,118.91,
06/01/2021,00:59:58.96,433.59,-661.13,-633.79,0.06,-0.30,-0.37,-170.25,-54.75,-23.25,33.59,118.91,
06/01/2021,00:59:58.97,462.40,-679.69,-624.51,0.61,0.85,-1.10,-170.25,-54.75,-23.25,33.68,118.91,
06/01/2021,00:59:58.97,458.98,-673.34,-640.14,1.28,-1.59,-0.06,-167.55,-54.15,-25.20,33.59,118.91,
06/01/2021,00:59:58.98,453.61,-673.83,-626.46,-1.83,0.91,0.24,-168.45,-53.25,-24.30,33.44,118.91,
06/01/2021,00:59:59.04,453.12,-683.11,-628.91,0.67,0.00,0.18,-170.10,-53.70,-23.85,33.64,118.90,
06/01/2021,00:59:59.06,446.29,-678.71,-632.81,0.98,-0.49,2.01,-170.10,-53.70,-23.85,33.49,118.90,
06/01/2021,00:59:59.06,456.05,-671.39,-628.91,2.56,-2.80,1.95,-170.70,-54.75,-23.25,33.44,118.90,
06/01/2021,00:59:59.07,461.43,-677.25,-633.30,-1.59,0.49,0.49,-169.05,-53.10,-24.45,33.59,118.90,
06/01/2021,00:59:59.08,448.24,-673.34,-635.74,0.67,0.06,-1.83,-169.05,-53.10,-24.45,33.35,118.90,
06/01/2021,00:59:59.09,436.04,-683.11,-629.39,-0.18,-0.55,-1.40,-169.20,-53.55,-22.20,33.35,118.90,
06/01/2021,00:59:59.10,457.03,-674.32,-630.86,-1.77,-3.66,1.28,-169.20,-53.55,-22.20,33.35,118.90,
06/01/2021,00:59:59.10,452.64,-679.69,-644.53,2.20,-1.71,1.34,-168.60,-54.15,-25.65,33.44,118.90,
06/01/2021,00:59:59.11,447.75,-683.11,-637.21,-1.10,-3.90,1.16,-168.60,-54.15,-25.65,33.35,118.90,
06/01/2021,00:59:59.11,450.68,-669.92,-634.77,-0.55,-0.49,-2.87,-168.60,-54.15,-25.65,33.35,118.90,
06/01/2021,00:59:59.13,447.27,-672.85,-629.88,0.00,-3.05,-1.16,-170.10,-54.90,-23.40,33.25,118.90,
06/01/2021,00:59:59.14,451.17,-675.29,-629.88,-0.91,-0.55,-1.04,-170.10,-54.90,-23.40,33.49,118.90,
06/01/2021,00:59:59.14,438.96,-665.53,-630.86,0.12,-2.32,0.61,-169.50,-54.30,-25.05,33.44,118.90,
06/01/2021,00:59:59.15,452.64,-665.53,-635.74,0.67,-0.30,-3.84,-169.50,-54.30,-25.05,33.44,118.90,
06/01/2021,00:59:59.15,450.68,-670.41,-629.39,0.79,-0.98,-3.48,-169.80,-53.70,-23.85,33.49,118.90,
06/01/2021,00:59:59.16,442.38,-668.95,-633.30,0.24,1.77,-2.38,-169.80,-54.15,-24.90,33.68,118.90,
06/01/2021,00:59:59.18,460.94,-675.29,-634.77,-0.06,-1.52,0.18,-168.30,-55.95,-24.15,33.44,118.90,
06/01/2021,00:59:59.18,451.17,-673.34,-632.81,0.91,0.06,1.10,-168.30,-55.95,-24.15,33.59,118.90,
06/01/2021,00:59:59.19,456.54,-666.50,-625.49,1.28,-1.46,0.79,-168.30,-55.95,-24.15,33.64,118.90,
06/01/2021,00:59:59.19,458.98,-666.99,-625.49,0.06,-1.16,-0.49,-168.60,-54.45,-24.45,33.49,118.90,
06/01/2021,00:59:59.20,446.29,-670.90,-625.98,0.85,-0.91,-1.16,-167.70,-54.00,-25.35,33.44,118.90,
06/01/2021,00:59:59.22,463.87,-672.36,-636.72,0.85,0.98,-1.40,-167.70,-54.00,-25.35,33.59,118.90,
06/01/2021,00:59:59.22,458.98,-669.43,-626.95,0.91,-0.91,0.43,-170.40,-54.15,-22.35,33.59,118.90,
06/01/2021,00:59:59.23,449.71,-668.46,-630.86,1.52,-2.20,0.30,-170.40,-54.15,-22.35,33.59,118.90,
06/01/2021,00:59:59.23,452.64,-676.76,-633.30,2.07,-0.06,0.98,-167.70,-53.25,-25.35,33.35,118.90,
06/01/2021,00:59:59.24,457.52,-677.25,-637.21,1.59,-2.87,2.32,-167.70,-53.25,-25.35,33.35,118.90,
06/01/2021,00:59:59.25,453.61,-672.36,-635.74,0.61,-1.04,-1.16,-169.50,-55.05,-23.25,33.35,118.90,
06/01/2021,00:59:59.26,452.64,-670.41,-636.23,1.16,0.18,0.06,-171.30,-53.55,-21.15,33.49,118.90,
06/01/2021,00:59:59.27,460.45,-669.43,-635.25,-0.49,-4.09,0.55,-171.30,-53.55,-21.15,33.59,118.90,
06/01/2021,00:59:59.27,446.78,-665.04,-636.72,-0.79,-1.65,0.12,-171.30,-53.55,-21.15,33.49,118.90,
06/01/2021,00:59:59.28,450.20,-666.99,-627.44,0.06,2.87,-3.60,-170.85,-54.15,-25.65,33.35,118.90,
06/01/2021,00:59:59.29,458.98,-668.95,-630.86,0.37,0.37,-0.24,-170.40,-55.20,-23.10,33.30,118.90,
06/01/2021,00:59:59.30,453.61,-674.32,-638.67,-0.37,-0.55,0.79,-171.30,-53.55,-22.95,33.49,118.90,
06/01/2021,00:59:59.31,445.80,-660.64,-643.55,-0.98,1.40,0.61,-171.30,-53.55,-22.95,33.44,118.90,
06/01/2021,00:59:59.31,456.05,-683.59,-636.23,-0.85,-2.07,1.16,-169.50,-55.05,-25.05,33.35,118.90,
