rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:03:00.23,854.49,-444.82,-327.15,1.10,-2.62,-0.55,-154.65,-51.15,-52.50,34.31,118.92,
06/01/2021,01:03:00.24,853.03,-441.89,-330.57,0.91,1.34,-0.12,-154.65,-51.15,-52.50,34.12,118.92,
06/01/2021,01:03:00.24,845.70,-436.04,-327.15,-0.37,-0.37,-0.67,-154.65,-51.15,-52.50,33.97,118.92,
06/01/2021,01:03:00.25,852.54,-442.87,-322.27,2.93,0.12,-1.65,-152.40,-49.65,-54.90,34.12,118.92,
06/01/2021,01:03:00.25,850.59,-448.73,-332.03,1.22,0.73,-1.04,-152.40,-49.65,-54.90,33.97,118.92,
06/01/2021,01:03:00.27,849.12,-452.64,-319.82,2.20,0.79,0.79,-153.15,-50.40,-52.50,34.12,118.92,
06/01/2021,01:03:00.28,848.63,-450.68,-311.52,2.87,-2.13,-2.26,-153.15,-50.40,-52.50,34.12,118.92,
06/01/2021,01:03:00.28,855.47,-443.85,-319.34,-0.61,-1.65,-2.87,-154.20,-50.85,-53.85,33.97,118.92,
06/01/2021,01:03:00.35,854.49,-452.15,-329.59,0.79,0.61,0.61,-153.90,-50.10,-53.25,34.21,118.91,
06/01/2021,01:03:00.36,842.77,-450.68,-323.24,0.85,1.22,-0.30,-154.20,-48.90,-54.90,34.21,118.91,
06/01/2021,01:03:00.38,840.82,-452.15,-332.03,0.79,-1.52,0.18,-153.30,-49.80,-51.90,33.83,118.91,
06/01/2021,01:03:00.38,852.05,-448.24,-317.38,0.61,-0.12,0.24,-153.30,-49.80,-51.90,33.88,118.91,
06/01/2021,01:03:00.39,835.45,-444.82,-317.38,0.49,1.04,0.24,-153.45,-50.10,-53.85,34.02,118.91,
06/01/2021,01:03:00.40,851.07,-446.78,-318.36,0.98,1.52,-1.71,-153.45,-50.10,-53.85,34.02,118.91,
06/01/2021,01:03:00.40,856.45,-442.38,-326.66,-0.67,-0.55,-0.55,-153.45,-50.10,-53.85,34.31,118.91,
06/01/2021,01:03:00.42,850.59,-455.08,-329.59,0.49,-1.89,-1.22,-154.65,-51.15,-55.35,33.88,118.91,
06/01/2021,01:03:00.42,845.70,-460.45,-325.20,0.24,-0.91,-1.95,-154.65,-51.15,-55.35,34.02,118.91,
