rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:01:59.79,638.18,377.93,639.65,1.10,-2.13,0.18,-143.70,10.50,-22.80,33.68,119.03,
06/01/2021,01:01:59.85,635.25,380.37,629.39,0.55,1.22,2.26,-143.55,11.10,-22.95,34.12,119.02,
06/01/2021,01:01:59.86,631.35,371.58,644.53,0.85,-1.52,-0.55,-144.30,11.85,-23.25,33.78,119.02,
06/01/2021,01:01:59.87,647.46,366.70,628.42,1.10,-2.62,-1.34,-143.70,12.00,-22.05,34.12,119.02,
06/01/2021,01:01:59.87,633.30,379.88,655.76,0.00,0.85,-1.34,-143.70,12.00,-22.05,34.16,119.02,
06/01/2021,01:01:59.89,653.32,364.26,641.11,1.89,-1.16,0.67,-141.60,11.25,-23.40,33.83,119.02,
06/01/2021,01:01:59.89,643.55,357.91,648.93,0.98,0.43,-0.55,-144.00,11.55,-22.20,33.88,119.02,
06/01/2021,01:01:59.90,645.51,370.61,634.77,1.52,-3.78,0.79,-144.00,11.55,-22.20,34.02,119.02,
06/01/2021,01:01:59.91,634.77,368.65,642.09,-0.30,-0.73,-0.67,-141.75,12.60,-23.70,34.12,119.02,
06/01/2021,01:01:59.91,637.21,367.19,650.39,0.43,0.06,-0.18,-141.75,12.60,-23.70,34.21,119.02,
06/01/2021,01:01:59.93,641.11,363.77,648.44,3.11,2.20,-0.55,-143.70,11.25,-22.05,34.02,119.02,
06/01/2021,01:01:59.93,646.00,374.51,643.55,1.65,-4.02,1.52,-143.70,11.25,-22.05,34.02,119.02,
06/01/2021,01:01:59.94,623.05,373.05,649.90,2.50,-1.16,1.22,-142.65,11.70,-22.80,33.88,119.02,
06/01/2021,01:01:59.95,632.32,376.95,642.09,1.40,-0.49,-1.46,-142.65,11.70,-22.80,33.78,119.02,
06/01/2021,01:01:59.95,631.84,366.70,644.04,0.43,-1.34,-2.01,-142.65,11.70,-22.80,33.68,119.02,
06/01/2021,01:01:59.96,633.30,363.77,634.28,-0.24,0.91,-1.46,-143.10,10.95,-23.85,33.88,119.02,
06/01/2021,01:01:59.97,644.04,368.65,661.62,2.13,-2.38,0.79,-142.65,11.70,-23.40,34.12,119.02,
06/01/2021,01:01:59.98,642.58,367.68,636.23,0.24,-2.62,-0.49,-142.65,11.70,-23.40,33.97,119.02,
06/01/2021,01:01:59.98,623.05,366.21,644.04,-0.61,-1.65,0.12,-142.80,12.15,-23.70,33.97,119.02,
06/01/2021,01:01:59.99,636.23,373.05,645.51,2.26,-1.10,-0.79,-142.80,12.15,-23.70,34.02,119.02,
06/01/2021,01:02:00.00,628.91,381.84,645.02,2.13,-2.87,-1.10,-141.75,11.85,-23.70,33.83,119.02,
06/01/2021,01:02:00.01,641.11,364.26,644.04,0.85,-1.83,-2.62,-141.30,11.25,-23.10,34.12,119.02,
06/01/2021,01:02:00.02,635.74,360.84,654.30,-0.12,-1.65,-1.83,-143.70,10.50,-20.25,33.83,119.02,
06/01/2021,01:02:00.02,637.21,368.65,634.28,0.73,-3.05,0.43,-141.30,12.00,-20.25,33.97,119.02,
06/01/2021,01:02:00.03,626.95,382.81,640.14,0.98,-2.01,-1.34,-141.30,12.00,-22.80,34.02,119.02,
06/01/2021,01:02:00.04,643.55,374.02,637.70,0.91,-2.13,-0.85,-143.40,12.75,-23.85,33.88,119.02,
06/01/2021,01:02:00.05,637.70,367.19,643.55,0.43,-0.49,-2.62,-141.90,12.00,-22.80,33.97,119.02,
06/01/2021,01:02:00.06,644.53,363.28,633.79,1.04,-0.67,-0.55,-144.00,11.85,-22.65,33.88,119.02,
06/01/2021,01:02:00.06,639.16,368.65,652.34,1.52,2.20,-1.22,-144.00,11.85,-22.65,34.02,119.02,
06/01/2021,01:02:00.07,642.58,375.49,632.32,0.55,-2.13,0.73,-142.20,13.65,-22.65,33.88,119.02,
06/01/2021,01:02:00.07,644.53,377.44,638.18,1.89,1.16,1.04,-142.20,13.65,-22.65,34.02,119.02,
06/01/2021,01:02:00.08,623.54,379.39,643.07,1.83,0.24,-0.06,-142.20,13.65,-22.65,33.83,119.02,
06/01/2021,01:02:00.10,642.58,353.03,635.25,0.79,0.61,1.40,-142.20,11.55,-23.25,33.97,119.02,
06/01/2021,01:02:00.10,638.67,378.91,632.81,2.56,-3.54,0.67,-142.20,11.55,-23.25,34.16,119.02,
06/01/2021,01:02:00.11,630.86,364.26,641.11,1.28,-1.10,-0.49,-142.20,11.55,-23.25,33.83,119.02,
06/01/2021,01:02:00.11,627.93,379.39,638.67,0.12,-1.22,0.91,-141.60,12.00,-23.85,34.12,119.02,
06/01/2021,01:02:00.12,630.37,372.56,641.60,-1.10,-1.34,-1.10,-141.60,12.00,-23.85,34.02,119.02,
06/01/2021,01:02:00.13,638.67,363.77,646.97,1.34,-3.41,-0.06,-142.35,12.75,-24.90,33.88,119.02,
06/01/2021,01:02:00.14,640.62,362.79,633.30,1.34,-0.67,0.85,-142.35,12.75,-24.90,33.68,119.02,
06/01/2021,01:02:00.15,636.72,376.46,641.11,1.40,0.79,-0.49,-140.55,12.45,-23.85,34.02,119.02,
06/01/2021,01:02:00.15,648.44,372.07,642.09,0.67,-0.79,0.24,-140.55,12.45,-23.85,33.88,119.02,
06/01/2021,01:02:00.16,636.23,364.26,646.97,2.13,-0.18,1.04,-141.75,12.60,-23.70,34.21,119.02,
06/01/2021,01:02:00.17,632.81,371.58,645.51,1.10,1.22,-0.79,-144.45,12.45,-23.10,33.83,119.02,
