rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:57:58.14,414.55,-690.43,-629.88,2.32,-1.71,-1.46,-169.05,-57.15,-21.00,32.92,119.13,
06/01/2021,00:57:58.14,417.48,-680.66,-634.28,0.37,-1.65,0.12,-168.90,-57.00,-22.95,32.73,119.13,
06/01/2021,00:57:58.15,431.64,-680.66,-636.72,1.40,1.34,1.52,-168.90,-57.00,-22.95,32.73,119.13,
06/01/2021,00:57:58.16,429.69,-677.73,-645.02,0.91,-0.24,1.89,-168.90,-57.00,-22.95,32.63,119.13,
06/01/2021,00:57:58.16,429.69,-693.36,-642.58,-0.06,1.59,-1.04,-166.35,-56.25,-23.70,32.77,119.13,
06/01/2021,00:57:58.18,424.32,-681.15,-634.77,1.34,0.67,0.85,-165.75,-55.20,-25.20,32.73,119.13,
06/01/2021,00:57:58.18,433.59,-682.62,-630.37,1.59,-2.32,1.71,-168.45,-57.30,-22.65,32.92,119.13,
06/01/2021,00:57:58.19,418.95,-687.01,-632.81,0.49,-1.04,-0.55,-166.35,-54.30,-24.75,32.73,119.13,
06/01/2021,00:57:58.20,412.11,-681.64,-638.67,0.12,-2.62,-1.22,-166.35,-54.30,-24.75,32.77,119.13,
06/01/2021,00:57:58.20,416.99,-693.36,-627.93,0.18,-1.34,-1.65,-165.45,-54.45,-24.90,32.82,119.13,
06/01/2021,00:57:58.22,420.90,-694.34,-633.30,-0.30,0.67,2.26,-165.75,-55.95,-23.10,32.82,119.13,
06/01/2021,00:57:58.22,420.41,-694.34,-640.14,-0.73,-0.49,-0.79,-165.75,-55.95,-23.10,33.06,119.13,
06/01/2021,00:57:58.23,436.04,-689.45,-641.60,1.46,0.37,-2.20,-165.90,-55.50,-23.25,32.82,119.13,
06/01/2021,00:57:58.23,409.67,-700.68,-633.79,1.10,-0.18,-0.91,-165.90,-55.50,-23.25,32.82,119.13,
06/01/2021,00:57:58.24,430.18,-682.13,-641.60,2.32,-1.89,0.49,-166.65,-55.80,-23.70,32.82,119.13,
06/01/2021,00:57:58.30,425.78,-681.64,-626.95,0.24,-4.15,-2.56,-169.20,-55.50,-23.25,32.82,119.12,
06/01/2021,00:57:58.32,428.71,-690.43,-636.23,1.22,0.91,1.40,-167.10,-56.55,-21.90,32.58,119.12,
06/01/2021,00:57:58.32,426.27,-690.92,-645.02,2.20,-0.67,-0.49,-167.10,-56.55,-21.90,32.92,119.12,
06/01/2021,00:57:58.33,416.99,-680.66,-636.23,0.12,-0.49,0.18,-167.10,-56.55,-23.25,32.77,119.12,
06/01/2021,00:57:58.34,423.83,-685.55,-636.72,1.34,-2.26,-0.67,-167.10,-56.55,-23.25,32.77,119.12,
06/01/2021,00:57:58.35,425.78,-688.96,-645.02,0.49,-0.85,-3.17,-164.40,-56.40,-24.45,32.63,119.12,
06/01/2021,00:57:58.36,420.90,-678.22,-635.74,1.04,0.24,-0.79,-168.60,-56.70,-24.45,32.92,119.12,
06/01/2021,00:57:58.36,435.06,-691.41,-646.97,-0.43,0.37,1.16,-168.60,-56.70,-22.35,32.92,119.12,
06/01/2021,00:57:58.37,424.32,-691.41,-642.58,0.37,-0.18,-1.77,-168.15,-54.75,-25.05,33.06,119.12,
06/01/2021,00:57:58.37,410.64,-675.29,-626.95,0.37,-1.04,-1.77,-168.15,-54.75,-25.05,33.06,119.12,
06/01/2021,00:57:58.38,415.04,-694.82,-637.21,1.52,-1.04,-0.24,-168.15,-54.75,-25.05,32.73,119.12,
06/01/2021,00:57:58.40,433.59,-700.68,-629.88,1.46,-0.85,-1.10,-165.60,-55.05,-25.05,32.77,119.12,
06/01/2021,00:57:58.40,422.85,-687.01,-633.79,0.43,-1.59,-0.91,-167.25,-56.70,-22.35,32.92,119.12,
06/01/2021,00:57:58.41,430.18,-687.50,-639.16,-0.37,-1.40,0.61,-167.25,-56.70,-22.35,32.73,119.12,
06/01/2021,00:57:58.41,431.15,-694.34,-628.42,-0.18,-1.65,-2.50,-167.25,-56.70,-22.35,32.82,119.12,
06/01/2021,00:57:58.42,429.20,-683.59,-627.93,0.43,-1.22,-2.26,-165.90,-54.00,-25.35,32.92,119.12,
06/01/2021,00:57:58.44,433.59,-676.76,-632.32,-0.30,-0.24,-0.85,-168.00,-55.65,-23.85,32.97,119.12,
06/01/2021,00:57:58.44,423.34,-680.66,-644.04,0.30,-3.29,-0.18,-168.30,-57.15,-23.40,32.77,119.12,
06/01/2021,00:57:58.45,430.66,-696.29,-634.77,0.12,-1.10,0.06,-165.45,-55.65,-24.90,32.92,119.12,
06/01/2021,00:57:58.45,432.13,-688.96,-628.91,-0.37,-1.83,-1.10,-165.45,-55.65,-24.90,32.92,119.12,
06/01/2021,00:57:58.46,427.73,-696.29,-628.91,0.06,1.59,-0.49,-166.50,-55.20,-25.65,32.82,119.12,
06/01/2021,00:57:58.48,428.71,-688.96,-640.14,1.34,1.04,-0.85,-166.50,-54.90,-23.85,32.73,119.12,
06/01/2021,00:57:58.48,435.55,-706.54,-638.67,0.98,-2.26,-1.83,-166.50,-54.90,-23.85,32.73,119.12,
06/01/2021,00:57:58.49,432.13,-680.66,-636.72,1.89,1.16,-0.85,-167.10,-55.05,-25.05,32.82,119.12,
06/01/2021,00:57:58.49,420.90,-688.48,-643.55,1.77,-3.96,-0.43,-167.10,-55.05,-25.05,32.97,119.12,
06/01/2021,00:57:58.50,418.95,-681.64,-641.11,-0.24,-0.85,-0.18,-166.20,-56.40,-25.20,32.92,119.12,
06/01/2021,00:57:58.51,427.73,-684.57,-645.51,1.16,-1.46,0.43,-166.20,-56.40,-25.20,32.77,119.12,
06/01/2021,00:57:58.52,423.34,-699.22,-631.35,0.49,-1.16,-1.22,-168.30,-57.15,-23.85,32.58,119.12,
06/01/2021,00:57:58.53,429.20,-687.50,-629.39,-0.55,-0.43,0.43,-166.65,-56.25,-25.05,32.73,119.12,
06/01/2021,00:57:58.53,421.39,-681.15,-634.77,-0.49,-0.30,-0.55,-166.65,-56.25,-25.05,32.73,119.12,
06/01/2021,00:57:58.54,407.71,-686.52,-645.02,-0.43,0.37,-1.77,-166.65,-56.25,-25.05,32.73,119.12,
06/01/2021,00:57:58.55,418.46,-700.20,-637.21,0.98,0.67,3.11,-166.20,-55.65,-24.45,32.97,119.12,
06/01/2021,00:57:58.56,421.88,-691.41,-639.65,0.49,-0.06,-0.85,-169.35,-57.45,-21.75,32.97,119.12,
06/01/2021,00:57:58.57,427.73,-689.94,-649.90,-0.18,1.34,0.61,-165.60,-54.75,-25.35,32.73,119.12,
06/01/2021,00:57:58.57,414.06,-687.01,-631.84,2.38,-2.74,-2.20,-165.60,-54.75,-25.35,32.92,119.12,
06/01/2021,00:57:58.58,418.95,-684.57,-634.28,0.55,0.00,-1.10,-166.80,-55.65,-25.20,32.92,119.12,
06/01/2021,00:57:58.59,433.11,-696.78,-634.77,1.10,0.79,-0.37,-168.00,-53.40,-24.45,33.11,119.12,
06/01/2021,00:57:58.60,414.06,-695.31,-633.30,2.20,-1.04,-1.04,-168.30,-56.70,-22.35,32.73,119.12,
06/01/2021,00:57:58.61,419.43,-695.80,-639.16,2.13,-2.26,-1.04,-166.65,-54.75,-24.00,32.63,119.12,
06/01/2021,00:57:58.61,413.57,-688.96,-633.79,0.43,3.23,-0.79,-166.65,-54.75,-24.00,32.73,119.12,
06/01/2021,00:57:58.62,429.69,-686.04,-630.37,0.55,0.61,1.46,-167.55,-55.95,-24.90,32.73,119.12,
06/01/2021,00:57:58.63,419.92,-681.64,-639.16,1.77,-0.98,1.10,-165.45,-55.20,-24.15,32.82,119.12,
06/01/2021,00:57:58.64,422.36,-678.22,-640.14,0.30,-0.43,1.59,-165.45,-55.20,-24.15,32.77,119.12,
06/01/2021,00:57:58.64,425.78,-695.80,-635.25,1.28,0.30,-0.91,-166.65,-55.50,-24.30,32.77,119.12,
06/01/2021,00:57:58.65,424.32,-679.20,-631.84,1.71,-1.34,0.61,-166.65,-55.50,-24.30,32.82,119.12,
06/01/2021,00:57:58.66,436.04,-696.29,-640.14,-0.12,-1.89,0.91,-167.40,-55.50,-24.75,32.92,119.13,
06/01/2021,00:57:58.66,423.83,-688.48,-642.09,0.12,-0.30,-0.91,-167.40,-55.50,-24.75,32.73,119.13,
06/01/2021,00:57:58.68,417.48,-694.34,-641.11,0.98,1.95,-0.30,-166.80,-57.15,-23.10,32.73,119.12,
06/01/2021,00:57:58.68,435.55,-679.69,-627.93,2.38,-3.29,1.16,-168.90,-57.75,-23.25,32.63,119.12,
06/01/2021,00:57:58.69,421.39,-691.41,-622.07,1.28,-3.23,-2.74,-168.90,-57.75,-23.25,32.73,119.13,
06/01/2021,00:57:58.70,419.92,-685.06,-632.81,1.89,-2.32,1.95,-166.65,-55.05,-24.75,32.82,119.13,
06/01/2021,00:57:58.70,423.34,-685.55,-640.14,1.34,-1.59,-0.49,-166.65,-55.05,-24.75,32.92,119.13,
06/01/2021,00:57:58.72,428.22,-694.82,-636.72,2.56,-0.49,-0.06,-165.75,-55.20,-22.35,32.77,119.12,
06/01/2021,00:57:58.72,433.11,-701.66,-635.74,1.04,-1.95,0.18,-166.65,-57.00,-24.30,32.73,119.13,
06/01/2021,00:57:58.73,418.46,-704.10,-638.18,-0.67,1.95,-2.62,-166.65,-57.00,-24.30,32.77,119.13,
06/01/2021,00:57:58.74,420.90,-686.04,-636.23,1.40,0.24,-0.79,-165.60,-54.30,-25.35,33.06,119.13,
06/01/2021,00:57:58.74,429.69,-691.41,-636.72,1.52,-1.52,2.62,-165.60,-54.30,-25.35,32.77,119.13,
06/01/2021,00:57:58.76,416.50,-687.50,-625.98,0.30,0.55,-1.65,-168.30,-55.65,-23.40,32.77,119.13,
06/01/2021,00:57:58.79,418.46,-688.48,-640.62,2.13,-0.06,1.22,-167.70,-55.05,-22.95,33.06,119.12,
