rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:55:57.35,197.75,60.06,-997.56,3.23,-2.01,-2.93,-112.20,-13.35,-54.75,31.72,119.31,
06/01/2021,00:55:57.40,207.03,45.90,-994.14,2.68,1.65,-0.37,-112.95,-11.55,-56.85,31.91,119.30,
06/01/2021,00:55:57.42,202.64,54.69,-993.65,0.18,-1.04,1.34,-111.75,-12.90,-55.80,32.01,119.30,
06/01/2021,00:55:57.42,204.10,70.31,-1001.46,1.04,0.06,1.04,-111.75,-12.90,-55.80,31.77,119.30,
06/01/2021,00:55:57.43,207.52,59.08,-991.21,1.40,-4.09,1.16,-109.95,-9.60,-58.35,31.91,119.30,
06/01/2021,00:55:57.44,205.57,54.69,-1011.23,1.95,-0.85,1.40,-109.80,-10.95,-57.15,32.20,119.30,
06/01/2021,00:55:57.45,203.61,57.62,-1008.79,0.06,-1.22,-1.22,-113.25,-12.90,-55.80,32.10,119.30,
06/01/2021,00:55:57.45,189.94,65.92,-1000.00,3.05,1.10,0.24,-110.70,-10.80,-57.90,32.10,119.30,
06/01/2021,00:55:57.46,203.61,56.64,-1008.30,1.10,1.04,3.35,-110.70,-10.80,-57.90,32.01,119.30,
06/01/2021,00:55:57.47,199.71,55.18,-993.65,2.26,-0.61,0.24,-110.70,-10.80,-57.90,32.06,119.30,
06/01/2021,00:55:57.48,192.87,62.01,-1000.00,-0.43,2.74,1.83,-110.55,-10.95,-59.25,31.91,119.30,
06/01/2021,00:55:57.49,187.01,57.62,-997.07,-0.55,-1.22,-0.98,-111.75,-12.60,-54.75,32.25,119.30,
06/01/2021,00:55:57.49,194.82,52.73,-1000.98,2.80,-0.61,1.10,-111.75,-12.60,-54.75,32.06,119.30,
06/01/2021,00:55:57.50,187.01,76.66,-1001.95,-0.12,-1.16,-1.46,-111.75,-12.60,-54.75,32.20,119.30,
06/01/2021,00:55:57.51,197.75,62.50,-986.82,0.30,-0.49,0.61,-111.45,-11.55,-58.65,31.91,119.30,
06/01/2021,00:55:57.51,208.01,53.71,-997.56,-0.06,0.67,-2.93,-111.45,-11.55,-58.65,32.25,119.30,
06/01/2021,00:55:57.53,197.75,49.80,-1002.44,0.49,-0.37,1.77,-111.60,-12.45,-57.45,32.01,119.30,
06/01/2021,00:55:57.53,196.29,60.06,-989.26,1.34,-0.43,-0.55,-111.60,-12.45,-57.45,32.10,119.30,
06/01/2021,00:55:57.54,191.89,66.89,-989.26,1.16,-0.12,1.77,-112.05,-10.20,-55.35,31.91,119.30,
06/01/2021,00:55:57.54,193.36,63.96,-992.68,1.95,-1.40,-1.46,-110.55,-10.95,-57.75,32.06,119.30,
06/01/2021,00:55:57.55,197.27,77.64,-996.09,3.05,-2.01,-1.40,-110.55,-10.95,-57.75,31.91,119.30,
06/01/2021,00:55:57.57,207.03,63.48,-999.51,1.10,0.12,-0.91,-109.05,-11.70,-58.80,32.10,119.30,
06/01/2021,00:55:57.57,200.68,61.04,-1002.44,0.24,-2.13,-0.98,-109.05,-11.70,-58.80,32.01,119.30,
06/01/2021,00:55:57.58,189.94,59.08,-1018.07,0.98,0.49,0.12,-111.30,-12.45,-57.15,32.01,119.30,
06/01/2021,00:55:57.58,200.68,57.62,-991.21,-0.37,2.13,-0.24,-109.65,-11.10,-57.30,32.01,119.30,
06/01/2021,00:55:57.59,201.66,62.99,-1003.42,1.52,0.37,-0.24,-109.65,-11.10,-57.30,31.86,119.30,
06/01/2021,00:55:57.60,187.99,57.62,-995.61,0.24,-1.22,-0.85,-111.15,-14.10,-56.55,31.91,119.30,
06/01/2021,00:55:57.61,214.36,67.38,-988.77,2.20,2.68,-1.34,-111.15,-14.10,-56.55,32.20,119.30,
06/01/2021,00:55:57.62,204.59,59.57,-1000.49,-0.24,1.22,0.30,-111.30,-11.25,-58.80,32.06,119.30,
06/01/2021,00:55:57.62,217.29,62.01,-1001.95,0.55,-0.43,-2.13,-111.30,-11.25,-58.80,32.10,119.30,
06/01/2021,00:55:57.63,194.82,71.29,-1000.98,-0.06,0.18,-1.10,-111.30,-11.25,-58.80,32.25,119.30,
06/01/2021,00:55:57.64,199.22,64.45,-991.21,0.85,-1.83,-0.30,-112.20,-13.35,-56.55,31.91,119.30,
06/01/2021,00:55:57.65,195.80,57.62,-999.51,0.91,-0.43,0.37,-112.20,-13.35,-56.55,31.77,119.30,
06/01/2021,00:55:57.66,197.75,57.13,-991.21,1.71,-1.77,0.24,-110.40,-11.55,-57.90,32.01,119.30,
06/01/2021,00:55:57.66,208.50,49.32,-1008.30,-0.24,-2.13,-1.83,-110.40,-11.55,-57.90,32.20,119.30,
06/01/2021,00:55:57.67,201.66,52.73,-1010.25,0.30,-3.60,-0.67,-110.85,-10.50,-59.85,32.01,119.30,
06/01/2021,00:55:57.68,191.41,57.13,-1004.39,-0.67,-1.04,0.49,-112.20,-12.60,-55.80,31.91,119.30,
06/01/2021,00:55:57.69,193.85,54.69,-1003.91,1.46,-1.22,1.46,-112.20,-12.60,-55.80,32.01,119.30,
06/01/2021,00:55:57.69,210.94,58.59,-998.54,1.65,-0.43,1.65,-112.20,-12.60,-55.80,32.10,119.30,
06/01/2021,00:55:57.70,209.96,44.43,-996.58,-0.55,-1.52,2.01,-112.20,-12.60,-55.80,32.10,119.31,
06/01/2021,00:55:57.71,204.59,52.73,-982.91,0.00,0.18,0.61,-110.40,-11.10,-56.85,32.20,119.31,
06/01/2021,00:55:57.71,199.22,65.43,-1006.35,1.10,-2.87,0.98,-109.80,-12.45,-59.25,31.91,119.31,
06/01/2021,00:55:57.73,195.80,65.92,-998.05,2.07,-2.50,-1.83,-109.80,-12.45,-59.25,32.10,119.30,
06/01/2021,00:55:57.73,203.12,69.34,-997.07,3.48,-1.40,0.06,-111.45,-11.55,-56.85,32.06,119.31,
06/01/2021,00:55:57.74,204.59,55.18,-1006.35,0.61,-2.68,-1.28,-111.45,-11.55,-56.85,32.01,119.31,
06/01/2021,00:55:57.75,199.22,48.83,-1001.46,1.40,-3.72,2.07,-109.80,-11.70,-58.80,31.91,119.31,
06/01/2021,00:55:57.75,195.31,56.64,-992.68,1.16,0.91,-0.91,-109.80,-11.70,-58.80,32.10,119.31,
06/01/2021,00:55:57.77,199.22,59.57,-997.56,0.61,1.71,0.12,-110.85,-10.95,-57.15,32.20,119.31,
06/01/2021,00:55:57.77,204.59,58.59,-1000.98,1.59,-0.91,-1.59,-113.10,-11.25,-57.15,31.77,119.31,
06/01/2021,00:55:57.78,205.08,60.55,-995.61,2.13,-2.32,1.34,-113.10,-11.25,-57.15,32.20,119.31,
06/01/2021,00:55:57.78,192.38,52.25,-992.68,0.12,-2.20,0.30,-110.55,-10.50,-58.80,32.06,119.31,
06/01/2021,00:55:57.79,208.01,61.04,-1005.37,1.34,-1.34,-0.43,-110.55,-10.50,-58.80,32.06,119.31,
06/01/2021,00:55:57.81,197.75,62.01,-1005.86,-0.43,1.65,-1.46,-113.10,-12.00,-55.95,31.77,119.31,
06/01/2021,00:55:57.81,201.66,49.80,-993.16,0.43,-2.20,-2.50,-112.65,-11.70,-56.40,32.01,119.31,
06/01/2021,00:55:57.82,197.27,52.73,-1001.46,1.16,0.98,0.12,-112.65,-11.70,-56.40,32.20,119.31,
06/01/2021,00:55:57.82,197.75,66.41,-995.61,2.07,0.67,-2.80,-112.65,-11.70,-56.40,31.91,119.31,
06/01/2021,00:55:57.83,201.17,54.69,-992.19,1.89,-0.06,0.55,-112.65,-11.70,-56.40,31.86,119.31,
06/01/2021,00:55:57.85,207.52,51.27,-1008.79,1.40,-0.79,-1.65,-109.80,-13.20,-57.15,32.06,119.31,
06/01/2021,00:55:57.85,210.94,57.62,-1003.91,1.59,-2.20,0.79,-109.80,-13.20,-57.15,32.10,119.31,
06/01/2021,00:55:57.86,202.64,58.59,-1011.23,-0.43,-2.01,-0.06,-109.80,-13.20,-57.15,32.10,119.31,
06/01/2021,00:55:57.89,188.96,63.96,-1009.77,-0.43,-1.77,2.13,-111.60,-12.75,-56.70,32.10,119.30,
06/01/2021,00:55:57.90,200.68,66.41,-1001.95,0.85,1.16,-1.16,-112.05,-11.25,-55.65,32.25,119.30,
06/01/2021,00:55:57.91,213.38,63.48,-996.09,-0.30,-3.78,-1.16,-111.30,-12.00,-56.70,32.06,119.30,
06/01/2021,00:55:57.93,189.94,54.20,-994.14,0.61,-0.73,0.24,-111.30,-12.00,-56.70,32.10,119.30,
