rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:56:57.74,204.10,47.36,-1001.46,1.89,-1.46,-0.49,-113.25,-12.60,-56.55,32.73,119.28,
06/01/2021,00:56:57.79,201.66,68.85,-1004.88,1.95,-0.06,0.18,-112.95,-12.60,-56.55,32.58,119.26,
06/01/2021,00:56:57.80,198.73,53.22,-995.61,-0.37,-2.07,-0.55,-110.85,-11.25,-56.70,32.53,119.26,
06/01/2021,00:56:57.81,194.82,43.95,-994.63,0.61,0.37,0.37,-112.05,-12.00,-55.95,32.44,119.26,
06/01/2021,00:56:57.82,204.59,56.64,-1007.81,2.56,0.91,0.12,-112.05,-12.00,-55.95,32.58,119.26,
06/01/2021,00:56:57.83,208.50,53.71,-1008.30,0.37,-2.99,-2.80,-112.20,-13.65,-55.80,32.44,119.26,
06/01/2021,00:56:57.84,200.68,51.76,-1005.37,1.10,-1.34,0.55,-112.20,-13.65,-55.80,32.53,119.26,
06/01/2021,00:56:57.84,200.68,61.04,-1000.00,1.16,-2.38,-0.43,-113.55,-12.15,-58.35,32.73,119.26,
06/01/2021,00:56:57.85,204.10,57.13,-1007.81,1.40,0.43,0.49,-113.55,-12.15,-58.35,32.39,119.26,
06/01/2021,00:56:57.85,203.61,71.78,-1005.37,3.11,-5.30,0.43,-113.55,-12.15,-58.35,32.25,119.27,
06/01/2021,00:56:57.87,194.82,48.34,-996.58,1.22,-2.20,-2.50,-113.10,-13.50,-56.40,32.39,119.26,
06/01/2021,00:56:57.88,192.38,65.92,-1001.95,1.71,-1.71,-1.40,-113.10,-13.50,-56.40,32.25,119.26,
06/01/2021,00:56:57.88,197.27,60.55,-1001.95,-0.12,-2.68,0.18,-113.10,-13.50,-56.40,32.63,119.26,
06/01/2021,00:56:57.89,201.66,66.41,-1001.46,0.73,-0.18,1.04,-109.80,-12.45,-58.80,32.53,119.27,
06/01/2021,00:56:57.89,197.75,62.99,-1000.00,2.93,-0.61,0.98,-109.80,-12.45,-58.80,32.39,119.27,
06/01/2021,00:56:57.91,211.43,69.34,-987.30,0.79,-1.77,0.43,-110.70,-11.85,-56.25,32.39,119.26,
06/01/2021,00:56:57.91,203.61,52.25,-1007.81,0.30,-1.04,1.34,-110.70,-11.85,-56.25,32.58,119.27,
06/01/2021,00:56:57.92,195.80,57.62,-1011.72,-1.10,-1.71,-1.40,-112.50,-11.10,-58.35,32.39,119.27,
06/01/2021,00:56:57.93,205.08,60.06,-997.07,-0.06,-0.30,-2.26,-111.30,-10.50,-58.20,32.39,119.27,
06/01/2021,00:56:57.93,214.36,56.15,-998.54,1.59,-1.89,-2.01,-111.30,-10.50,-58.20,32.44,119.27,
06/01/2021,00:56:57.94,215.82,56.15,-1011.72,1.28,-1.83,-0.43,-110.25,-11.70,-57.75,32.58,119.27,
06/01/2021,00:56:57.95,201.17,55.66,-998.54,0.12,1.16,-1.34,-110.25,-11.70,-57.75,32.44,119.27,
06/01/2021,00:56:57.96,211.43,60.55,-988.77,2.44,-3.41,0.00,-111.60,-14.70,-55.95,32.39,119.27,
06/01/2021,00:56:57.97,197.75,54.20,-996.58,-0.18,-2.20,-0.43,-111.60,-14.70,-55.95,32.58,119.27,
06/01/2021,00:56:57.97,201.66,63.96,-994.14,0.98,1.40,-2.93,-109.50,-10.95,-58.50,32.39,119.27,
06/01/2021,00:56:57.98,220.21,53.22,-998.05,1.71,-2.68,0.49,-109.50,-10.95,-58.50,32.58,119.27,
06/01/2021,00:56:57.99,205.57,62.01,-996.09,2.01,0.00,1.83,-110.85,-11.70,-58.20,32.39,119.27,
06/01/2021,00:56:58.00,195.31,63.96,-999.51,0.55,1.16,-2.01,-112.35,-13.20,-55.95,32.25,119.27,
06/01/2021,00:56:58.00,199.22,56.15,-1010.74,0.30,-3.17,-0.67,-112.35,-13.20,-55.95,32.63,119.27,
06/01/2021,00:56:58.01,211.43,42.48,-1011.72,0.67,-1.77,-1.95,-112.35,-13.20,-55.95,32.63,119.27,
06/01/2021,00:56:58.02,207.03,61.52,-1002.93,0.85,-4.39,0.85,-111.15,-11.55,-57.60,32.44,119.27,
06/01/2021,00:56:58.03,205.57,59.08,-995.12,1.65,0.18,-0.37,-110.55,-12.45,-57.45,32.58,119.27,
06/01/2021,00:56:58.04,207.03,48.83,-992.19,0.91,0.67,-1.83,-110.85,-11.25,-56.70,32.39,119.27,
06/01/2021,00:56:58.04,210.94,50.78,-997.56,0.43,0.24,-0.61,-110.85,-11.25,-56.70,32.44,119.27,
06/01/2021,00:56:58.05,206.54,58.59,-982.91,2.62,-2.93,-1.83,-110.25,-12.75,-58.80,32.44,119.27,
06/01/2021,00:56:58.06,187.01,45.41,-995.61,1.04,-2.50,0.49,-110.25,-12.75,-58.80,32.53,119.27,
06/01/2021,00:56:58.07,216.31,64.94,-1000.49,-0.55,-2.26,-0.85,-110.40,-13.65,-57.90,32.73,119.27,
06/01/2021,00:56:58.08,196.29,60.06,-999.51,0.18,-1.71,-1.10,-110.40,-13.65,-57.90,32.53,119.27,
06/01/2021,00:56:58.08,206.54,55.18,-1002.93,2.62,-0.55,3.17,-110.40,-13.65,-57.90,32.39,119.27,
06/01/2021,00:56:58.09,204.10,54.69,-996.09,1.59,-4.02,1.40,-110.25,-11.25,-57.75,32.53,119.27,
06/01/2021,00:56:58.09,194.34,60.55,-1007.32,2.13,-1.77,2.32,-110.25,-11.25,-57.75,32.44,119.27,
06/01/2021,00:56:58.10,206.05,55.18,-996.09,0.43,-2.56,-0.18,-109.80,-11.25,-58.50,32.73,119.27,
06/01/2021,00:56:58.12,212.89,44.92,-995.12,0.06,-3.05,0.06,-110.85,-12.75,-55.35,32.58,119.27,
06/01/2021,00:56:58.12,199.71,50.78,-993.16,0.73,-0.37,-1.28,-110.85,-12.75,-55.35,32.58,119.27,
06/01/2021,00:56:58.13,205.57,59.08,-1017.58,1.34,-1.34,-0.18,-109.80,-12.75,-60.30,32.39,119.27,
06/01/2021,00:56:58.13,212.40,60.06,-999.02,2.07,0.30,-0.43,-109.80,-12.75,-60.30,32.58,119.27,
06/01/2021,00:56:58.14,196.29,59.08,-1007.81,1.28,-1.16,0.49,-109.80,-12.75,-60.30,32.58,119.27,
06/01/2021,00:56:58.15,211.91,55.18,-999.02,1.40,0.49,-1.46,-111.60,-13.20,-56.40,32.53,119.27,
06/01/2021,00:56:58.16,197.75,62.50,-1006.35,1.59,-1.46,-0.79,-111.60,-13.20,-56.40,32.53,119.27,
06/01/2021,00:56:58.17,196.78,49.32,-1007.32,1.04,1.77,-1.22,-111.75,-11.85,-59.10,32.53,119.27,
06/01/2021,00:56:58.17,191.41,62.01,-1006.35,1.52,-1.04,0.85,-111.75,-11.85,-59.10,32.44,119.27,
06/01/2021,00:56:58.18,192.87,54.20,-1000.98,1.83,-2.68,0.49,-110.55,-12.45,-58.50,32.58,119.27,
06/01/2021,00:56:58.19,197.75,71.29,-994.14,1.83,0.18,-1.89,-110.70,-11.85,-58.65,32.39,119.27,
06/01/2021,00:56:58.20,201.66,66.89,-1013.67,-0.06,-1.46,0.30,-112.65,-12.45,-57.15,32.44,119.27,
06/01/2021,00:56:58.21,198.24,63.48,-1000.49,-0.98,-0.73,-2.68,-112.65,-12.45,-57.15,32.39,119.27,
06/01/2021,00:56:58.21,198.24,61.52,-995.12,0.91,-0.12,-0.98,-112.65,-12.45,-57.15,32.58,119.27,
06/01/2021,00:56:58.22,188.48,55.18,-1004.39,2.74,-0.37,0.30,-110.55,-12.00,-58.20,32.44,119.27,
06/01/2021,00:56:58.23,197.75,55.18,-997.07,2.26,0.30,0.24,-109.95,-11.85,-57.90,32.44,119.27,
06/01/2021,00:56:58.24,200.68,57.13,-994.63,0.12,1.10,-1.04,-109.95,-11.85,-57.90,32.44,119.27,
06/01/2021,00:56:58.25,192.87,54.69,-996.58,1.95,-3.35,1.95,-110.85,-12.00,-58.50,32.58,119.27,
06/01/2021,00:56:58.28,205.57,65.92,-997.07,-0.43,-0.61,0.06,-111.30,-12.00,-56.70,32.73,119.27,
