rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:06:01.62,628.42,-723.14,-348.14,0.18,-1.28,-3.29,-174.30,-36.75,-16.95,34.36,118.67,
06/01/2021,01:06:01.67,625.49,-713.38,-344.24,0.18,-1.89,-0.24,-176.25,-37.80,-17.10,34.02,118.66,
06/01/2021,01:06:01.69,652.83,-712.89,-324.71,-1.34,0.06,0.00,-176.40,-38.25,-17.55,34.50,118.66,
06/01/2021,01:06:01.69,643.07,-724.12,-342.29,0.18,2.13,-1.22,-176.40,-38.25,-17.55,34.50,118.66,
06/01/2021,01:06:01.70,631.35,-721.68,-343.26,-1.34,-1.10,-2.26,-174.75,-35.55,-18.90,34.31,118.66,
06/01/2021,01:06:01.71,632.81,-717.29,-338.38,2.01,0.18,-2.50,-175.05,-37.50,-18.90,34.36,118.66,
06/01/2021,01:06:01.72,646.97,-704.59,-345.70,0.85,-0.24,-0.49,-175.05,-37.50,-18.30,34.21,118.66,
06/01/2021,01:06:01.73,632.81,-716.31,-349.61,-0.18,2.07,-2.26,-172.95,-36.30,-21.30,34.50,118.66,
06/01/2021,01:06:01.73,633.30,-708.50,-348.14,0.61,-0.30,0.00,-172.95,-36.30,-21.30,34.21,118.66,
06/01/2021,01:06:01.74,629.39,-718.75,-351.07,-0.73,1.65,0.18,-172.95,-36.30,-21.30,34.40,118.66,
06/01/2021,01:06:01.75,629.39,-733.89,-346.19,0.91,-0.98,0.12,-173.70,-36.60,-19.50,34.40,118.66,
06/01/2021,01:06:01.76,640.14,-718.75,-352.05,-1.83,-1.04,-0.49,-174.75,-38.10,-19.95,34.36,118.66,
06/01/2021,01:06:01.77,634.28,-718.75,-354.49,-1.83,-1.46,1.16,-174.75,-38.10,-19.95,34.21,118.66,
06/01/2021,01:06:01.77,644.04,-729.00,-350.59,0.55,0.91,0.73,-174.75,-38.10,-19.95,34.50,118.66,
06/01/2021,01:06:01.78,639.65,-732.91,-350.59,0.18,1.34,1.34,-172.80,-36.45,-20.85,34.16,118.66,
06/01/2021,01:06:01.79,640.62,-714.36,-346.19,0.06,1.52,-1.89,-172.95,-37.80,-19.20,34.40,118.66,
06/01/2021,01:06:01.80,643.07,-715.33,-338.87,-0.67,-1.65,-0.85,-175.35,-38.25,-18.75,34.40,118.66,
06/01/2021,01:06:01.80,645.51,-719.24,-343.26,-0.79,0.85,-0.24,-174.60,-36.00,-20.85,34.40,118.66,
06/01/2021,01:06:01.81,637.70,-720.21,-353.03,-0.37,0.79,-0.37,-174.60,-36.00,-20.85,34.36,118.66,
06/01/2021,01:06:01.82,639.16,-720.70,-349.12,-0.49,0.55,-1.40,-174.15,-37.80,-18.90,34.50,118.66,
06/01/2021,01:06:01.83,632.32,-709.47,-354.49,0.00,0.24,0.18,-172.05,-36.45,-20.40,34.36,118.66,
06/01/2021,01:06:01.84,638.18,-706.05,-345.21,0.98,-1.22,0.61,-175.20,-38.10,-17.10,34.40,118.66,
06/01/2021,01:06:01.84,632.81,-712.89,-339.84,0.30,-0.43,0.55,-174.60,-36.00,-19.35,34.31,118.66,
06/01/2021,01:06:01.85,642.09,-724.12,-345.21,-1.22,-0.79,-1.40,-174.60,-36.00,-19.35,34.36,118.66,
06/01/2021,01:06:01.86,645.51,-715.33,-345.70,-1.22,-1.83,-2.01,-173.55,-37.95,-20.10,34.50,118.66,
06/01/2021,01:06:01.86,644.04,-722.66,-346.68,-0.73,-5.30,-0.91,-173.55,-37.95,-20.10,34.36,118.66,
