rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:04:00.70,398.44,-226.56,-914.06,16.77,17.80,-7.38,-132.45,-42.75,-57.90,34.21,118.84,
06/01/2021,01:04:00.75,490.23,-223.14,-815.92,16.34,48.17,-8.66,-132.75,-43.95,-57.90,34.12,118.83,
06/01/2021,01:04:00.76,542.97,-215.82,-790.04,19.39,44.39,-11.10,-132.75,-43.95,-57.90,34.02,118.83,
06/01/2021,01:04:00.77,531.74,-229.00,-771.48,21.28,40.30,-11.04,-132.15,-44.10,-59.25,34.12,118.83,
06/01/2021,01:04:00.78,535.64,-216.31,-771.48,22.99,39.51,-14.15,-132.15,-44.10,-59.25,33.97,118.83,
06/01/2021,01:04:00.79,564.45,-222.66,-767.09,24.57,39.39,-13.54,-132.60,-43.65,-59.25,34.40,118.83,
06/01/2021,01:04:00.80,556.64,-231.93,-777.83,26.04,36.59,-13.23,-132.60,-43.65,-59.25,34.36,118.83,
06/01/2021,01:04:00.80,552.25,-221.68,-771.00,24.82,30.12,-15.91,-134.70,-43.65,-58.50,34.21,118.83,
06/01/2021,01:04:00.81,556.15,-218.75,-778.32,27.38,29.09,-14.33,-133.65,-42.15,-59.25,34.40,118.83,
06/01/2021,01:04:00.82,537.11,-229.49,-787.60,26.77,28.72,-12.93,-133.65,-42.15,-59.25,34.12,118.83,
06/01/2021,01:04:00.83,537.60,-213.87,-817.87,27.01,23.29,-11.83,-135.15,-43.35,-58.50,34.21,118.83,
06/01/2021,01:04:00.84,537.11,-235.35,-819.82,29.02,18.60,-10.06,-135.15,-43.35,-58.50,34.16,118.83,
06/01/2021,01:04:00.84,525.88,-223.63,-832.03,24.94,16.34,-10.67,-134.70,-44.40,-58.20,34.21,118.83,
06/01/2021,01:04:00.85,529.30,-224.61,-843.26,25.37,12.74,-8.48,-135.30,-44.70,-61.20,34.12,118.83,
06/01/2021,01:04:00.86,525.88,-225.10,-826.66,25.49,17.50,-10.85,-135.30,-44.70,-61.20,34.12,118.83,
06/01/2021,01:04:00.87,541.99,-229.98,-826.66,21.46,11.89,-7.44,-134.85,-44.70,-59.10,34.31,118.83,
06/01/2021,01:04:00.88,525.88,-230.96,-822.27,21.22,11.89,-9.45,-134.85,-44.70,-59.10,34.21,118.83,
06/01/2021,01:04:00.88,532.71,-233.40,-837.89,19.45,9.27,-6.34,-135.60,-43.95,-59.10,34.31,118.83,
06/01/2021,01:04:00.89,520.51,-231.93,-830.57,20.79,9.15,-6.95,-135.60,-43.95,-59.10,34.31,118.83,
06/01/2021,01:04:00.90,515.62,-246.58,-849.12,19.27,8.23,-5.67,-135.60,-43.95,-59.10,34.16,118.83,
06/01/2021,01:04:00.91,527.34,-244.63,-837.40,20.24,4.70,-0.43,-136.20,-46.35,-57.45,34.40,118.83,
06/01/2021,01:04:00.92,528.32,-253.42,-845.70,15.55,4.02,-4.70,-136.20,-46.35,-57.45,34.31,118.83,
06/01/2021,01:04:00.92,509.77,-248.05,-843.26,15.91,1.34,-3.78,-136.20,-46.35,-57.45,34.31,118.83,
06/01/2021,01:04:00.93,521.48,-235.84,-840.82,13.66,1.34,-3.72,-136.35,-43.95,-59.10,34.12,118.83,
06/01/2021,01:04:00.94,526.86,-251.46,-851.07,13.84,-0.06,-1.34,-136.35,-43.95,-59.10,34.21,118.83,
06/01/2021,01:04:00.95,513.18,-260.25,-858.40,11.22,1.65,-1.10,-135.15,-45.60,-58.20,34.21,118.83,
06/01/2021,01:04:00.96,526.86,-262.21,-854.98,11.59,2.68,-0.55,-135.15,-45.60,-58.20,34.31,118.83,
06/01/2021,01:04:00.96,513.67,-254.39,-853.52,11.34,2.32,2.13,-136.20,-45.60,-58.20,34.12,118.83,
06/01/2021,01:04:00.97,529.30,-266.11,-844.24,11.40,6.10,0.55,-135.45,-47.10,-58.20,34.12,118.83,
06/01/2021,01:04:00.98,527.83,-265.14,-839.36,6.65,4.76,-1.04,-135.45,-47.10,-58.20,34.16,118.83,
06/01/2021,01:04:00.99,531.25,-253.91,-852.54,6.52,5.43,1.10,-135.30,-47.70,-57.60,34.02,118.83,
06/01/2021,01:04:01.00,534.18,-255.37,-831.05,7.87,5.73,1.65,-135.30,-47.70,-57.60,34.12,118.83,
06/01/2021,01:04:01.00,549.80,-261.23,-837.40,6.71,3.78,0.43,-136.35,-45.00,-56.85,34.21,118.83,
06/01/2021,01:04:01.01,556.64,-264.65,-844.24,9.02,3.60,2.44,-135.75,-45.60,-59.25,34.36,118.83,
06/01/2021,01:04:01.02,548.83,-257.81,-837.40,7.68,7.44,1.22,-135.75,-45.60,-59.25,34.02,118.83,
06/01/2021,01:04:01.02,551.76,-257.32,-833.98,7.74,3.78,2.80,-136.35,-46.50,-58.35,34.36,118.83,
06/01/2021,01:04:01.04,568.36,-262.21,-842.29,8.29,2.62,4.09,-135.15,-45.60,-59.55,34.40,118.83,
06/01/2021,01:04:01.04,551.27,-274.90,-833.01,6.77,6.10,2.68,-136.65,-46.95,-56.55,34.36,118.83,
06/01/2021,01:04:01.05,555.18,-260.74,-837.89,3.66,3.11,-0.49,-136.65,-46.95,-56.55,34.31,118.83,
06/01/2021,01:04:01.05,559.57,-262.70,-825.68,5.55,6.28,3.29,-136.65,-46.95,-56.55,34.31,118.83,
06/01/2021,01:04:01.06,565.92,-265.14,-817.38,5.06,0.79,1.04,-135.30,-45.75,-59.70,34.02,118.83,
