rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:05:01.17,461.91,-933.59,-389.65,-4.39,25.12,29.27,-135.30,-52.80,-51.60,34.40,118.74,
06/01/2021,01:05:01.22,291.02,-944.82,-375.00,-14.15,44.39,41.52,-136.50,-52.65,-51.45,34.40,118.74,
06/01/2021,01:05:01.24,258.30,-946.78,-388.18,-18.66,43.35,43.23,-136.20,-53.10,-51.45,34.12,118.74,
06/01/2021,01:05:01.25,253.42,-946.78,-373.54,-18.84,40.79,46.71,-136.20,-53.10,-51.45,34.31,118.74,
06/01/2021,01:05:01.25,258.30,-932.62,-369.14,-17.93,41.40,49.15,-134.25,-52.80,-55.50,34.16,118.74,
06/01/2021,01:05:01.27,292.48,-936.52,-349.61,-20.30,38.29,47.93,-132.90,-52.65,-54.60,34.31,118.73,
06/01/2021,01:05:01.27,299.80,-907.71,-336.43,-19.63,38.11,47.68,-132.90,-52.65,-54.60,34.31,118.74,
06/01/2021,01:05:01.28,320.31,-917.97,-322.75,-19.51,36.16,44.45,-134.25,-50.25,-54.00,34.40,118.74,
06/01/2021,01:05:01.29,349.61,-913.09,-312.01,-20.37,30.98,44.33,-134.25,-50.25,-54.00,34.16,118.74,
06/01/2021,01:05:01.29,363.77,-901.86,-305.18,-18.11,28.60,42.01,-133.35,-51.90,-54.30,34.64,118.74,
06/01/2021,01:05:01.31,378.91,-894.04,-288.09,-15.61,25.85,36.65,-133.35,-51.90,-54.30,34.21,118.74,
06/01/2021,01:05:01.31,394.53,-903.81,-293.95,-15.85,23.54,31.40,-136.65,-52.50,-52.65,34.40,118.74,
06/01/2021,01:05:01.32,385.74,-883.79,-296.39,-18.41,24.39,32.26,-133.50,-49.50,-54.45,34.31,118.74,
06/01/2021,01:05:01.33,376.95,-885.74,-297.36,-16.16,23.35,33.72,-133.50,-49.50,-54.45,34.02,118.74,
06/01/2021,01:05:01.33,382.32,-898.93,-298.83,-14.51,25.91,28.90,-133.50,-49.50,-54.45,34.64,118.74,
06/01/2021,01:05:01.35,348.14,-875.98,-302.73,-15.91,23.17,26.40,-134.25,-50.55,-55.50,34.40,118.74,
06/01/2021,01:05:01.35,341.80,-864.26,-281.25,-15.85,26.65,27.07,-136.20,-52.35,-53.25,34.40,118.74,
06/01/2021,01:05:01.36,343.75,-864.75,-285.64,-17.68,28.35,26.04,-133.50,-49.80,-55.20,34.02,118.74,
06/01/2021,01:05:01.37,332.03,-863.77,-291.99,-15.85,31.16,22.13,-133.50,-49.80,-55.20,34.12,118.74,
06/01/2021,01:05:01.37,330.08,-875.00,-287.11,-17.38,33.96,24.09,-132.90,-47.85,-55.65,34.36,118.74,
06/01/2021,01:05:01.39,359.38,-860.35,-294.43,-17.50,35.43,23.11,-132.60,-49.65,-53.85,34.40,118.74,
06/01/2021,01:05:01.39,372.56,-848.14,-287.60,-15.98,35.67,23.96,-134.55,-51.30,-54.00,34.31,118.74,
06/01/2021,01:05:01.40,374.02,-866.70,-273.93,-15.79,30.61,23.23,-134.70,-49.35,-55.95,34.02,118.74,
06/01/2021,01:05:01.41,378.91,-870.61,-287.11,-13.41,30.55,22.87,-134.70,-49.35,-55.95,34.40,118.74,
06/01/2021,01:05:01.41,374.02,-854.49,-282.23,-15.55,29.88,24.09,-132.75,-49.50,-56.25,34.31,118.74,
06/01/2021,01:05:01.43,356.45,-873.05,-282.71,-17.01,27.99,24.33,-133.80,-48.00,-56.25,34.31,118.74,
