rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:08:02.62,397.46,-1030.27,-208.50,12.93,-11.16,63.54,-143.10,-58.95,-11.40,34.88,118.55,
06/01/2021,01:08:02.68,435.55,-1162.11,-222.17,4.70,7.32,76.16,-139.95,-56.55,-10.95,34.69,118.55,
06/01/2021,01:08:02.69,451.66,-1096.68,-247.07,4.51,15.24,73.23,-139.95,-55.80,-12.00,34.69,118.55,
06/01/2021,01:08:02.70,463.87,-1068.36,-242.19,5.79,14.76,71.46,-139.95,-55.80,-12.00,34.64,118.55,
06/01/2021,01:08:02.70,455.57,-1034.18,-239.75,5.18,18.17,68.41,-139.95,-55.80,-12.00,34.64,118.55,
06/01/2021,01:08:02.72,482.42,-990.72,-239.75,2.93,16.83,60.30,-138.30,-56.40,-10.35,34.55,118.55,
06/01/2021,01:08:02.73,483.40,-972.66,-235.35,3.23,15.24,52.50,-138.30,-56.40,-10.35,34.74,118.55,
06/01/2021,01:08:02.73,485.84,-958.50,-238.28,1.10,12.07,50.24,-138.30,-56.40,-10.35,34.74,118.55,
06/01/2021,01:08:02.74,498.54,-939.45,-224.61,0.55,6.22,49.27,-136.65,-54.75,-12.30,34.64,118.55,
06/01/2021,01:08:02.74,478.52,-924.32,-225.59,-0.98,6.77,44.45,-136.65,-54.75,-12.30,34.50,118.55,
06/01/2021,01:08:02.76,472.17,-908.69,-205.08,-4.27,-6.89,35.73,-136.65,-55.50,-11.55,34.69,118.55,
06/01/2021,01:08:02.77,466.31,-909.67,-197.27,-3.11,-8.66,35.18,-137.55,-55.50,-11.55,34.69,118.55,
06/01/2021,01:08:02.77,460.45,-905.76,-201.66,-4.09,-11.59,32.07,-137.55,-55.95,-10.35,34.55,118.55,
06/01/2021,01:08:02.78,455.08,-906.74,-192.87,-6.22,-12.80,29.27,-135.60,-55.50,-12.00,34.50,118.55,
06/01/2021,01:08:02.78,456.05,-926.76,-187.01,-8.11,-13.54,27.26,-135.60,-55.50,-12.00,34.50,118.55,
06/01/2021,01:08:02.80,432.62,-954.59,-203.12,-14.15,-19.02,23.35,-137.25,-55.20,-10.35,34.64,118.55,
06/01/2021,01:08:02.81,448.24,-984.38,-196.78,-15.18,-13.11,23.60,-137.55,-55.95,-10.65,34.50,118.55,
06/01/2021,01:08:02.81,430.66,-983.40,-208.98,-17.01,-8.66,19.88,-137.55,-55.95,-10.65,34.55,118.55,
06/01/2021,01:08:02.82,426.76,-981.45,-217.77,-19.82,-5.37,19.76,-133.50,-55.05,-12.60,34.40,118.55,
06/01/2021,01:08:02.82,414.06,-1001.46,-216.80,-22.01,-2.74,18.23,-133.50,-55.05,-12.60,34.83,118.55,
06/01/2021,01:08:02.84,410.64,-1000.98,-197.27,-27.68,14.94,12.26,-134.85,-55.05,-11.25,34.50,118.55,
06/01/2021,01:08:02.85,400.39,-999.02,-180.66,-30.79,24.09,6.77,-134.85,-55.50,-12.30,34.55,118.55,
06/01/2021,01:08:02.85,410.64,-1012.70,-187.01,-32.32,28.41,2.93,-134.85,-55.50,-12.30,34.50,118.55,
06/01/2021,01:08:02.86,409.67,-1037.11,-166.99,-34.02,34.45,2.13,-134.55,-56.25,-13.80,34.50,118.55,
06/01/2021,01:08:02.86,414.55,-1028.81,-154.30,-34.27,42.56,-2.93,-134.55,-56.25,-13.80,34.69,118.55,
06/01/2021,01:08:02.88,425.78,-1017.58,-112.79,-34.51,52.80,-14.76,-134.55,-57.00,-13.05,34.64,118.55,
06/01/2021,01:08:02.89,424.80,-1022.95,-104.49,-35.30,57.01,-21.65,-134.55,-57.00,-13.05,34.55,118.55,
06/01/2021,01:08:02.89,413.57,-1014.16,-98.63,-35.18,61.46,-25.24,-134.55,-57.00,-13.05,34.74,118.55,
06/01/2021,01:08:02.90,424.80,-1017.09,-81.54,-34.21,64.21,-29.15,-134.70,-55.65,-15.00,34.64,118.55,
06/01/2021,01:08:02.90,414.55,-997.07,-82.52,-34.70,65.91,-35.12,-134.70,-55.65,-15.00,34.74,118.55,
06/01/2021,01:08:02.92,420.90,-1019.04,-69.82,-30.67,70.18,-47.87,-133.80,-55.05,-16.95,34.40,118.55,
06/01/2021,01:08:02.93,417.97,-1022.46,-63.96,-26.95,68.54,-50.67,-134.85,-58.50,-14.40,34.74,118.55,
06/01/2021,01:08:02.93,412.60,-1006.84,-59.08,-25.73,65.18,-53.05,-134.85,-58.50,-14.40,34.64,118.55,
06/01/2021,01:08:02.94,403.81,-996.58,-59.57,-21.95,65.18,-60.98,-133.65,-55.65,-15.00,34.64,118.55,
06/01/2021,01:08:02.94,397.95,-993.16,-41.99,-21.16,64.57,-60.18,-133.65,-55.65,-15.00,34.64,118.55,
06/01/2021,01:08:02.96,394.04,-981.93,-53.71,-11.71,54.09,-67.93,-135.15,-56.40,-13.95,34.64,118.55,
06/01/2021,01:08:02.97,379.88,-988.28,-50.78,-8.66,48.84,-70.49,-137.40,-57.75,-15.15,34.69,118.55,
06/01/2021,01:08:02.97,388.67,-972.66,-48.34,-4.27,41.04,-71.71,-137.40,-57.75,-15.15,34.64,118.55,
06/01/2021,01:08:02.98,384.77,-961.43,-47.85,-5.49,37.38,-74.76,-137.40,-57.75,-15.15,34.74,118.55,
06/01/2021,01:08:02.98,377.93,-940.92,-42.97,-1.65,32.93,-77.32,-136.05,-57.75,-16.50,34.74,118.55,
06/01/2021,01:08:03.00,368.16,-903.81,-53.22,5.91,17.99,-76.65,-136.20,-57.90,-15.30,34.55,118.55,
06/01/2021,01:08:03.01,349.61,-902.34,-66.41,7.93,15.67,-78.11,-136.20,-57.90,-15.30,34.64,118.55,
06/01/2021,01:08:03.01,346.19,-888.67,-61.04,10.79,9.70,-77.32,-136.20,-57.90,-15.30,34.64,118.55,
06/01/2021,01:08:03.02,321.29,-904.30,-60.06,13.54,7.13,-80.49,-136.20,-57.15,-16.80,34.64,118.55,
06/01/2021,01:08:03.02,327.64,-879.39,-71.29,15.55,4.63,-76.95,-138.15,-58.80,-17.25,34.69,118.55,
06/01/2021,01:08:03.04,326.17,-854.00,-91.31,18.23,-2.74,-71.77,-138.60,-58.80,-15.15,34.69,118.55,
06/01/2021,01:08:03.05,314.94,-853.03,-100.10,21.52,-8.05,-69.02,-140.55,-58.20,-15.30,34.64,118.55,
06/01/2021,01:08:03.05,333.98,-857.91,-105.47,21.28,-11.83,-68.66,-140.55,-58.20,-15.30,34.64,118.55,
06/01/2021,01:08:03.06,315.92,-855.47,-109.38,23.72,-12.99,-63.72,-137.85,-57.00,-17.25,34.69,118.55,
06/01/2021,01:08:03.06,314.94,-854.98,-108.40,24.63,-15.43,-60.98,-140.70,-57.00,-16.95,34.93,118.55,
06/01/2021,01:08:03.08,320.31,-836.43,-123.54,25.91,-25.30,-52.38,-138.90,-58.50,-16.20,34.64,118.55,
06/01/2021,01:08:03.09,314.45,-846.68,-135.74,26.83,-27.44,-50.43,-141.75,-55.80,-13.05,34.74,118.55,
06/01/2021,01:08:03.09,301.27,-843.26,-144.53,26.65,-28.35,-45.49,-141.75,-55.80,-13.05,34.69,118.55,
06/01/2021,01:08:03.10,317.87,-839.36,-157.23,26.59,-35.85,-42.68,-142.20,-57.75,-15.90,34.74,118.55,
06/01/2021,01:08:03.10,306.64,-844.24,-151.37,26.16,-34.94,-37.50,-142.20,-57.75,-15.90,34.55,118.55,
06/01/2021,01:08:03.12,301.27,-846.19,-179.20,28.29,-46.16,-26.10,-141.75,-57.00,-15.15,34.50,118.55,
06/01/2021,01:08:03.13,305.18,-871.09,-181.15,27.07,-51.16,-22.68,-144.15,-58.20,-12.45,34.64,118.55,
