rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:07:02.11,644.04,-708.01,-356.93,0.12,-3.35,-1.16,-176.55,-37.80,-17.10,34.69,118.61,
06/01/2021,01:07:02.16,617.19,-726.07,-363.28,2.38,-2.32,-0.73,-174.60,-37.50,-19.05,34.50,118.61,
06/01/2021,01:07:02.18,630.37,-725.10,-351.56,0.61,-3.29,-0.30,-174.60,-37.50,-19.05,34.50,118.61,
06/01/2021,01:07:02.18,638.67,-729.00,-350.10,2.93,0.49,-0.91,-175.95,-37.80,-18.45,34.64,118.61,
06/01/2021,01:07:02.19,637.70,-723.14,-363.77,0.98,-2.56,0.12,-175.95,-37.80,-18.45,34.50,118.61,
06/01/2021,01:07:02.20,631.84,-713.38,-358.89,2.26,1.10,1.40,-176.55,-38.85,-19.50,34.40,118.61,
06/01/2021,01:07:02.21,625.98,-731.45,-359.86,2.26,-1.46,-2.62,-176.25,-37.05,-19.50,34.50,118.61,
06/01/2021,01:07:02.22,629.88,-726.07,-359.38,2.99,1.40,-2.80,-176.25,-37.05,-19.50,34.64,118.61,
06/01/2021,01:07:02.22,629.39,-712.89,-354.49,2.56,-1.10,0.06,-174.30,-37.20,-20.40,34.50,118.61,
06/01/2021,01:07:02.23,644.53,-711.43,-357.91,0.06,-0.18,-1.28,-174.30,-37.20,-20.40,34.74,118.61,
06/01/2021,01:07:02.24,642.58,-712.89,-360.35,0.91,-0.12,-0.06,-174.30,-37.50,-19.80,34.50,118.61,
06/01/2021,01:07:02.25,641.60,-710.45,-349.61,0.79,0.67,-1.16,-174.45,-37.80,-18.90,34.64,118.61,
06/01/2021,01:07:02.25,629.88,-726.07,-360.35,1.28,-0.79,-0.43,-174.45,-37.80,-18.90,34.50,118.61,
06/01/2021,01:07:02.26,643.07,-711.91,-363.28,2.56,-3.41,0.43,-173.25,-36.75,-20.40,34.40,118.61,
06/01/2021,01:07:02.27,633.30,-705.08,-359.86,3.72,-0.55,-0.18,-173.25,-36.75,-20.40,34.50,118.61,
06/01/2021,01:07:02.28,625.98,-724.12,-352.54,0.43,0.79,-0.43,-175.65,-37.20,-18.75,34.50,118.61,
06/01/2021,01:07:02.29,611.82,-721.68,-342.77,1.89,1.28,0.55,-174.45,-38.85,-18.90,34.31,118.61,
06/01/2021,01:07:02.29,619.14,-712.89,-353.03,1.34,1.10,-0.12,-174.45,-38.85,-18.90,34.64,118.61,
06/01/2021,01:07:02.30,645.02,-718.26,-361.33,1.10,-2.26,-1.40,-174.45,-38.85,-18.90,34.64,118.61,
06/01/2021,01:07:02.31,626.46,-719.73,-361.33,0.00,-0.06,-2.13,-174.45,-38.85,-18.90,34.55,118.61,
06/01/2021,01:07:02.32,622.07,-713.38,-350.10,-0.55,-2.38,-0.30,-174.75,-38.55,-19.50,34.55,118.61,
06/01/2021,01:07:02.33,633.30,-707.52,-362.30,-1.65,-1.40,-0.06,-174.75,-38.55,-19.50,34.69,118.61,
06/01/2021,01:07:02.33,634.77,-717.29,-363.77,1.04,-2.26,-1.04,-174.75,-38.55,-19.50,34.40,118.61,
06/01/2021,01:07:02.34,634.77,-720.70,-372.07,1.46,-4.94,-0.06,-174.75,-36.30,-19.50,34.50,118.61,
06/01/2021,01:07:02.35,630.86,-728.03,-366.70,1.04,-1.40,-0.12,-174.75,-36.30,-19.50,34.64,118.61,
06/01/2021,01:07:02.35,623.05,-711.91,-357.42,2.56,-3.48,0.37,-173.85,-37.20,-21.15,34.55,118.61,
06/01/2021,01:07:02.37,638.18,-723.14,-365.23,1.83,-1.04,0.55,-173.85,-37.20,-21.15,34.64,118.61,
06/01/2021,01:07:02.37,634.77,-705.08,-354.00,2.56,0.12,-0.12,-174.45,-37.05,-19.20,34.64,118.61,
06/01/2021,01:07:02.38,641.11,-714.84,-346.19,2.68,-2.38,0.61,-172.95,-37.35,-20.70,34.40,118.61,
06/01/2021,01:07:02.38,642.58,-720.70,-353.52,0.91,0.18,0.67,-172.95,-37.35,-20.70,34.50,118.61,
06/01/2021,01:07:02.39,628.91,-729.00,-361.82,0.24,2.87,-2.13,-172.95,-37.35,-20.70,34.40,118.61,
06/01/2021,01:07:02.41,640.62,-712.40,-363.77,1.16,-1.10,-1.52,-174.30,-36.75,-19.80,34.50,118.61,
06/01/2021,01:07:02.41,631.35,-717.29,-361.33,1.95,-2.44,0.30,-177.15,-37.20,-17.25,34.64,118.61,
06/01/2021,01:07:02.42,644.53,-712.89,-345.21,1.77,-1.16,-0.06,-173.55,-37.50,-19.80,34.50,118.61,
06/01/2021,01:07:02.42,619.14,-716.31,-359.38,3.11,-2.01,-0.37,-173.55,-37.50,-19.80,34.40,118.61,
06/01/2021,01:07:02.43,625.00,-711.43,-346.68,2.13,-0.61,-0.98,-173.70,-37.05,-20.25,34.31,118.61,
06/01/2021,01:07:02.45,626.46,-707.52,-355.96,2.07,-1.16,0.30,-175.20,-36.60,-19.50,34.40,118.61,
06/01/2021,01:07:02.45,635.74,-724.61,-342.77,3.11,-1.95,2.01,-174.60,-38.25,-16.95,34.40,118.61,
06/01/2021,01:07:02.46,620.12,-714.36,-359.38,1.65,-0.98,-1.52,-174.45,-35.85,-18.90,34.40,118.61,
06/01/2021,01:07:02.46,629.88,-717.29,-343.26,1.65,-3.78,1.10,-174.45,-35.85,-18.90,34.55,118.61,
06/01/2021,01:07:02.47,631.35,-718.75,-364.26,1.65,-2.07,-1.46,-173.40,-36.60,-19.20,34.55,118.61,
06/01/2021,01:07:02.49,629.88,-720.21,-356.45,1.10,3.17,-1.46,-172.50,-37.95,-20.40,34.31,118.61,
06/01/2021,01:07:02.49,635.25,-720.70,-345.21,0.98,-1.95,-0.91,-176.40,-39.45,-18.00,34.64,118.61,
06/01/2021,01:07:02.50,636.23,-728.52,-354.49,0.73,-0.67,1.40,-173.70,-37.35,-20.25,34.69,118.61,
06/01/2021,01:07:02.50,636.72,-723.63,-359.38,0.12,-1.22,-1.59,-173.70,-37.35,-20.25,34.40,118.61,
06/01/2021,01:07:02.51,624.51,-719.73,-347.17,-0.24,-1.22,-2.13,-174.15,-36.60,-19.50,34.64,118.61,
06/01/2021,01:07:02.52,627.93,-727.05,-353.52,0.24,0.12,-1.77,-174.15,-36.60,-19.50,34.64,118.61,
06/01/2021,01:07:02.53,639.65,-722.17,-365.72,0.24,-2.68,-0.24,-176.10,-37.20,-16.95,34.74,118.61,
06/01/2021,01:07:02.54,633.30,-716.31,-360.35,2.50,-2.99,0.24,-172.95,-37.80,-19.50,34.64,118.61,
06/01/2021,01:07:02.54,630.86,-718.26,-354.49,1.59,-1.59,-2.56,-172.95,-37.80,-19.50,34.50,118.61,
06/01/2021,01:07:02.55,633.79,-720.21,-353.03,1.04,-0.73,0.30,-172.95,-37.80,-19.50,34.50,118.61,
06/01/2021,01:07:02.56,640.62,-722.17,-358.40,0.06,1.89,0.24,-173.25,-37.95,-19.35,34.64,118.61,
06/01/2021,01:07:02.57,634.77,-729.00,-345.21,1.22,-0.55,0.00,-175.95,-39.60,-17.85,34.55,118.61,
06/01/2021,01:07:02.58,638.18,-713.38,-369.63,2.68,-0.06,1.34,-175.95,-39.60,-17.85,34.50,118.61,
06/01/2021,01:07:02.58,629.39,-731.45,-351.56,-0.61,0.61,-0.49,-175.95,-39.60,-17.85,34.12,118.61,
06/01/2021,01:07:02.59,632.32,-721.19,-361.33,2.13,-0.79,-0.06,-173.55,-36.45,-20.10,34.31,118.61,
06/01/2021,01:07:02.60,627.44,-720.21,-364.75,2.07,0.37,1.28,-172.20,-36.60,-19.20,34.64,118.61,
06/01/2021,01:07:02.61,636.23,-725.10,-356.93,1.46,1.34,-1.89,-172.20,-36.60,-19.20,34.64,118.61,
06/01/2021,01:07:02.62,648.44,-714.84,-359.86,0.98,-1.65,-1.71,-173.55,-36.60,-19.20,34.21,118.61,
06/01/2021,01:07:02.65,632.32,-723.63,-358.40,-0.98,0.49,-0.55,-175.35,-39.45,-19.35,34.31,118.61,
06/01/2021,01:07:02.66,645.02,-723.14,-360.84,0.37,3.23,-1.40,-175.20,-37.80,-17.85,34.55,118.61,
06/01/2021,01:07:02.67,630.37,-719.73,-365.72,0.24,-1.59,-1.52,-175.20,-38.10,-18.15,34.50,118.61,
06/01/2021,01:07:02.69,632.32,-721.68,-350.10,1.77,-0.06,2.74,-174.60,-38.25,-19.05,34.64,118.61,
06/01/2021,01:07:02.69,629.39,-723.63,-358.40,-0.30,0.73,-1.10,-174.60,-38.25,-19.05,34.21,118.61,
06/01/2021,01:07:02.70,632.81,-712.89,-361.82,0.30,0.06,-0.30,-172.50,-36.45,-20.10,34.50,118.61,
06/01/2021,01:07:02.70,637.21,-702.15,-355.47,1.46,0.12,-1.95,-172.50,-36.45,-20.10,34.69,118.61,
06/01/2021,01:07:02.71,633.30,-708.98,-346.19,-1.16,-3.66,-1.71,-172.50,-36.45,-20.10,34.64,118.61,
06/01/2021,01:07:02.72,628.42,-721.19,-359.38,1.52,1.04,-0.67,-174.30,-38.25,-19.35,34.50,118.61,
06/01/2021,01:07:02.73,631.84,-720.70,-357.42,1.40,-1.52,-0.98,-174.30,-38.25,-19.35,34.40,118.61,
06/01/2021,01:07:02.74,636.23,-710.94,-358.89,0.67,2.38,-2.26,-174.30,-38.25,-19.35,34.40,118.61,
06/01/2021,01:07:02.74,639.65,-719.73,-353.52,-0.61,0.98,0.00,-174.30,-38.25,-19.35,34.40,118.61,
06/01/2021,01:07:02.75,623.54,-710.94,-349.12,0.85,0.67,0.85,-173.55,-36.00,-20.10,34.64,118.61,
06/01/2021,01:07:02.76,633.30,-717.29,-362.30,1.59,-1.65,1.28,-174.15,-36.30,-21.00,34.83,118.61,
06/01/2021,01:07:02.77,641.60,-697.75,-352.54,0.24,-3.23,0.49,-174.15,-36.30,-21.00,34.40,118.61,
06/01/2021,01:07:02.78,633.79,-722.17,-355.96,0.06,0.24,0.91,-174.45,-37.35,-21.00,34.64,118.61,
06/01/2021,01:07:02.78,639.65,-714.84,-360.84,-0.91,-0.73,0.06,-174.45,-37.35,-21.00,34.69,118.61,
06/01/2021,01:07:02.79,636.72,-712.40,-364.26,1.04,-1.04,-1.22,-172.50,-37.50,-19.05,34.64,118.61,
06/01/2021,01:07:02.80,635.25,-725.59,-339.36,0.85,-4.15,2.99,-172.50,-37.50,-19.05,34.64,118.61,
06/01/2021,01:07:02.81,643.07,-704.59,-356.93,1.52,-2.07,-3.29,-175.05,-39.00,-18.00,34.74,118.61,
06/01/2021,01:07:02.82,641.11,-713.87,-347.66,2.26,-1.89,-1.34,-175.05,-36.75,-21.45,34.64,118.61,
06/01/2021,01:07:02.82,644.04,-702.15,-338.87,1.16,-0.18,-0.79,-175.05,-36.75,-21.45,34.64,118.61,
06/01/2021,01:07:02.83,636.23,-712.89,-362.79,0.18,-0.18,-0.18,-175.05,-36.75,-21.45,34.50,118.61,
06/01/2021,01:07:02.84,633.30,-715.82,-349.12,-0.91,-1.71,1.34,-174.15,-37.80,-19.95,34.21,118.61,
06/01/2021,01:07:02.85,629.88,-715.33,-363.28,0.85,-0.37,-1.65,-175.35,-39.00,-16.95,34.21,118.61,
06/01/2021,01:07:02.85,635.74,-715.82,-359.86,0.55,-1.52,-1.95,-173.40,-37.05,-21.00,34.50,118.61,
06/01/2021,01:07:02.86,629.88,-725.10,-357.91,1.52,-2.56,0.55,-173.40,-37.05,-21.00,34.64,118.61,
06/01/2021,01:07:02.87,643.07,-713.38,-364.26,-1.34,-2.13,0.43,-174.30,-35.70,-20.40,34.40,118.61,
06/01/2021,01:07:02.88,625.98,-723.14,-359.86,1.22,-0.98,1.46,-174.45,-35.55,-19.20,34.69,118.61,
06/01/2021,01:07:02.89,630.86,-709.47,-349.12,1.22,-0.43,2.20,-177.00,-39.60,-17.10,34.50,118.61,
06/01/2021,01:07:02.89,625.00,-725.59,-354.00,0.18,0.00,-0.67,-172.65,-39.60,-17.10,34.64,118.61,
06/01/2021,01:07:02.90,645.51,-710.94,-349.61,1.52,-0.55,-1.59,-172.65,-37.80,-20.70,34.31,118.61,
06/01/2021,01:07:02.91,633.30,-715.82,-352.54,1.65,0.49,-0.18,-175.05,-37.50,-19.80,34.50,118.61,
06/01/2021,01:07:02.91,634.28,-716.80,-371.58,1.71,-1.28,2.13,-175.05,-37.50,-19.80,34.69,118.61,
06/01/2021,01:07:02.93,638.18,-718.26,-355.47,1.77,-0.30,-3.35,-174.15,-37.05,-19.50,34.31,118.61,
06/01/2021,01:07:02.93,630.86,-712.40,-366.21,-0.18,0.85,-2.62,-174.15,-37.05,-19.50,34.50,118.61,
06/01/2021,01:07:02.94,634.77,-716.31,-343.75,0.67,-0.73,-1.46,-175.65,-37.50,-18.75,34.31,118.61,
06/01/2021,01:07:02.95,641.60,-722.17,-362.30,0.12,-2.01,-1.22,-174.15,-37.80,-18.90,34.64,118.61,
06/01/2021,01:07:02.95,642.09,-710.94,-353.03,2.01,-2.32,-2.99,-174.15,-37.80,-18.90,34.50,118.61,
06/01/2021,01:07:02.97,642.09,-721.19,-350.59,0.24,-1.28,-0.06,-173.85,-37.95,-20.10,34.21,118.61,
06/01/2021,01:07:02.97,619.63,-720.21,-361.33,1.04,0.61,-0.43,-173.85,-37.95,-20.10,34.64,118.61,
06/01/2021,01:07:02.98,647.46,-703.61,-358.89,0.85,-2.13,1.04,-174.75,-37.80,-19.95,34.88,118.61,
06/01/2021,01:07:02.99,621.09,-725.10,-359.86,-0.61,-0.24,-0.43,-174.75,-37.80,-19.95,34.64,118.61,
06/01/2021,01:07:02.99,642.09,-717.29,-349.61,-0.49,-1.28,-0.61,-174.75,-37.80,-19.95,34.64,118.61,
06/01/2021,01:07:03.01,637.70,-717.77,-345.21,0.37,-1.46,-3.72,-174.30,-37.50,-19.35,34.21,118.61,
06/01/2021,01:07:03.01,639.65,-723.63,-354.00,0.49,-0.79,1.28,-174.30,-37.50,-19.35,34.40,118.61,
06/01/2021,01:07:03.02,633.79,-720.70,-355.96,1.10,-1.10,-0.67,-174.30,-37.50,-19.35,34.40,118.61,
06/01/2021,01:07:03.02,640.62,-711.91,-355.96,0.06,-1.28,-2.32,-173.40,-37.35,-19.50,34.55,118.61,
06/01/2021,01:07:03.03,634.28,-715.82,-363.77,-0.12,-1.16,0.55,-173.40,-37.35,-19.50,34.64,118.61,
06/01/2021,01:07:03.05,634.77,-716.80,-360.84,-0.18,0.37,-2.13,-174.75,-36.60,-20.25,34.40,118.61,
06/01/2021,01:07:03.05,639.16,-706.05,-349.12,0.18,0.85,0.79,-174.75,-36.60,-20.25,34.31,118.61,
06/01/2021,01:07:03.06,644.53,-720.70,-358.40,-1.22,-1.04,-0.55,-174.30,-37.20,-18.30,34.50,118.61,
06/01/2021,01:07:03.06,642.58,-705.08,-354.98,0.00,-1.22,-2.80,-173.85,-36.00,-19.80,34.64,118.61,
06/01/2021,01:07:03.07,636.72,-718.26,-351.07,-0.06,0.91,-2.32,-173.85,-36.00,-19.80,34.40,118.61,
06/01/2021,01:07:03.09,637.70,-707.52,-355.47,0.67,-0.12,-2.68,-175.05,-38.25,-19.80,34.36,118.61,
06/01/2021,01:07:03.09,641.11,-726.07,-347.17,-0.61,-1.83,-0.18,-175.05,-38.25,-19.80,34.21,118.61,
06/01/2021,01:07:03.10,625.49,-720.21,-352.54,1.59,0.98,-1.04,-173.40,-38.10,-20.70,34.55,118.61,
06/01/2021,01:07:03.10,636.23,-715.33,-346.68,1.34,-0.12,-0.85,-174.75,-37.05,-19.50,34.50,118.61,
06/01/2021,01:07:03.11,631.84,-706.54,-366.21,-1.77,1.22,-2.01,-174.75,-37.05,-19.50,34.64,118.61,
06/01/2021,01:07:03.12,635.25,-716.31,-357.42,1.28,-3.66,0.67,-173.70,-37.80,-19.20,34.50,118.61,
06/01/2021,01:07:03.16,639.16,-723.63,-351.56,0.18,0.73,-0.30,-177.00,-37.80,-18.45,34.50,118.61,
06/01/2021,01:07:03.17,634.28,-716.80,-361.33,0.79,-0.30,-0.06,-174.15,-37.05,-18.90,34.50,118.61,
06/01/2021,01:07:03.18,623.54,-716.31,-364.26,0.73,-1.59,-1.28,-174.15,-37.05,-18.90,34.50,118.61,
06/01/2021,01:07:03.18,643.07,-704.59,-353.03,0.49,1.52,-0.73,-174.45,-37.05,-19.20,34.50,118.61,
06/01/2021,01:07:03.20,629.39,-707.52,-355.96,0.61,-0.85,0.12,-174.15,-37.05,-20.25,34.64,118.61,
06/01/2021,01:07:03.21,632.81,-708.98,-348.14,-0.61,0.61,-3.11,-174.15,-37.05,-20.25,34.50,118.61,
06/01/2021,01:07:03.21,638.67,-708.01,-366.70,1.04,-2.26,-0.06,-174.15,-37.05,-20.25,34.50,118.61,
06/01/2021,01:07:03.22,649.41,-718.75,-355.47,0.98,-1.10,-1.65,-172.50,-36.00,-20.40,34.40,118.61,
06/01/2021,01:07:03.22,639.65,-715.82,-361.33,2.13,1.46,-2.32,-173.55,-37.50,-20.10,34.40,118.61,
06/01/2021,01:07:03.24,647.95,-721.68,-366.70,0.98,-2.50,-0.43,-173.55,-37.50,-20.10,34.55,118.61,
06/01/2021,01:07:03.25,643.55,-710.94,-368.65,-0.30,-2.01,-1.22,-176.55,-37.80,-17.40,34.55,118.61,
06/01/2021,01:07:03.25,627.93,-714.84,-354.00,2.56,-0.43,1.28,-173.55,-36.75,-20.85,34.55,118.61,
06/01/2021,01:07:03.26,644.04,-726.07,-349.12,0.91,-2.50,1.04,-173.55,-36.75,-20.85,34.88,118.61,
06/01/2021,01:07:03.26,640.62,-706.05,-346.68,0.79,-2.62,-1.95,-173.25,-36.75,-20.40,34.50,118.61,
06/01/2021,01:07:03.27,650.39,-719.24,-347.66,0.06,-2.44,0.79,-173.25,-36.75,-20.40,34.40,118.61,
06/01/2021,01:07:03.29,635.25,-732.42,-354.98,0.55,-1.40,1.95,-174.60,-37.50,-19.05,34.69,118.61,
06/01/2021,01:07:03.29,646.48,-702.64,-346.19,0.79,-1.10,-0.18,-175.95,-37.35,-18.45,34.55,118.61,
06/01/2021,01:07:03.30,646.00,-711.91,-357.42,0.00,-1.16,-1.83,-175.95,-37.35,-18.45,34.40,118.61,
06/01/2021,01:07:03.30,634.28,-706.54,-359.86,-0.43,1.71,-2.01,-174.15,-37.05,-18.90,34.50,118.61,
06/01/2021,01:07:03.31,638.67,-712.89,-350.59,0.61,-0.73,0.67,-174.15,-37.05,-18.90,34.55,118.61,
06/01/2021,01:07:03.32,640.14,-712.89,-361.33,1.52,-0.37,-2.32,-175.35,-37.95,-18.30,34.31,118.61,
06/01/2021,01:07:03.33,637.70,-711.43,-347.17,1.52,-1.34,-2.50,-175.35,-37.95,-18.30,34.64,118.61,
06/01/2021,01:07:03.34,636.72,-708.98,-366.70,1.52,-0.18,1.59,-175.35,-37.95,-18.30,34.64,118.61,
06/01/2021,01:07:03.34,638.18,-719.24,-357.42,0.98,-1.46,0.79,-172.65,-36.60,-20.25,34.69,118.61,
06/01/2021,01:07:03.35,640.14,-718.26,-345.21,1.22,2.80,-0.73,-172.65,-36.60,-20.25,34.50,118.61,
06/01/2021,01:07:03.36,644.53,-704.10,-360.84,1.22,-1.22,0.73,-174.75,-36.60,-20.25,34.50,118.61,
06/01/2021,01:07:03.37,648.44,-719.73,-354.00,0.91,0.61,-1.28,-174.75,-36.60,-20.25,34.40,118.61,
06/01/2021,01:07:03.38,635.25,-719.24,-355.96,1.71,-0.43,-0.73,-174.60,-38.70,-19.05,34.50,118.61,
06/01/2021,01:07:03.38,639.16,-710.45,-352.54,-0.06,-2.01,1.89,-173.25,-35.70,-20.40,34.50,118.61,
06/01/2021,01:07:03.39,631.84,-715.33,-352.05,1.04,-0.98,-0.85,-173.25,-35.70,-20.40,34.40,118.61,
06/01/2021,01:07:03.40,637.70,-704.10,-354.49,1.52,-0.79,1.71,-175.05,-37.95,-17.55,34.69,118.61,
06/01/2021,01:07:03.41,639.65,-719.73,-354.49,1.77,-2.07,-1.59,-175.05,-37.95,-17.55,34.64,118.61,
06/01/2021,01:07:03.42,637.21,-711.43,-356.45,2.56,-0.61,-0.30,-175.95,-35.85,-21.30,34.64,118.61,
06/01/2021,01:07:03.42,636.23,-721.68,-353.03,1.22,1.34,2.68,-175.95,-35.85,-21.30,34.21,118.61,
06/01/2021,01:07:03.43,633.79,-716.31,-350.59,2.07,0.24,1.16,-175.95,-35.85,-21.30,34.36,118.61,
06/01/2021,01:07:03.44,627.44,-714.36,-361.82,1.16,-0.91,-2.68,-175.35,-37.95,-18.30,34.64,118.61,
06/01/2021,01:07:03.45,637.21,-712.40,-356.45,1.40,0.61,0.18,-175.35,-37.95,-18.30,34.50,118.61,
06/01/2021,01:07:03.45,632.32,-721.68,-352.05,3.17,-1.52,-0.37,-175.35,-37.95,-18.30,34.40,118.61,
06/01/2021,01:07:03.46,632.32,-716.31,-348.14,0.55,1.77,0.37,-172.80,-37.20,-20.40,34.55,118.61,
06/01/2021,01:07:03.47,637.70,-698.24,-353.03,0.49,-0.98,-1.40,-172.80,-37.20,-20.40,34.69,118.61,
06/01/2021,01:07:03.48,633.30,-720.21,-356.93,2.01,-5.00,-0.91,-173.85,-37.95,-18.75,34.50,118.61,
06/01/2021,01:07:03.49,638.67,-711.91,-345.70,1.65,-0.79,-0.91,-173.85,-37.95,-18.75,34.50,118.61,
06/01/2021,01:07:03.49,631.35,-702.64,-360.35,1.16,0.55,1.77,-173.85,-37.50,-19.80,34.64,118.61,
06/01/2021,01:07:03.50,635.25,-709.47,-360.35,2.26,1.28,-1.77,-173.85,-37.50,-19.80,34.55,118.61,
06/01/2021,01:07:03.51,652.34,-702.64,-353.52,1.83,0.30,-0.98,-173.55,-37.20,-20.10,34.64,118.61,
06/01/2021,01:07:03.52,636.72,-712.40,-355.47,1.83,-1.10,-1.22,-174.60,-37.50,-18.75,34.50,118.61,
06/01/2021,01:07:03.53,637.70,-711.43,-361.33,3.29,-0.91,1.10,-174.60,-37.50,-18.75,34.50,118.61,
06/01/2021,01:07:03.53,634.28,-723.14,-349.12,1.04,-1.59,0.61,-175.05,-37.20,-19.80,34.64,118.61,
06/01/2021,01:07:03.54,635.25,-707.03,-354.98,0.79,-2.01,-0.55,-175.05,-37.20,-19.80,34.40,118.61,
06/01/2021,01:07:03.54,636.23,-716.80,-356.93,1.16,0.67,-1.10,-173.85,-37.20,-20.10,34.40,118.61,
06/01/2021,01:07:03.55,643.07,-714.36,-367.68,2.62,-1.28,1.77,-173.85,-37.20,-20.10,34.69,118.61,
06/01/2021,01:07:03.57,649.41,-713.38,-357.42,1.65,-4.15,1.46,-173.55,-37.20,-18.30,34.55,118.61,
06/01/2021,01:07:03.57,630.86,-707.03,-364.26,-0.24,1.22,0.00,-174.15,-37.80,-18.15,34.50,118.61,
06/01/2021,01:07:03.58,642.58,-721.68,-352.54,0.37,1.28,-1.34,-174.15,-37.80,-18.15,34.50,118.61,
06/01/2021,01:07:03.58,641.60,-727.05,-348.63,-0.18,-1.77,-0.79,-174.15,-37.80,-18.15,34.64,118.61,
06/01/2021,01:07:03.59,628.91,-718.26,-362.79,2.01,-3.23,-0.67,-174.60,-36.75,-20.85,34.64,118.61,
06/01/2021,01:07:03.61,639.16,-723.14,-357.42,1.89,-1.04,0.85,-173.25,-37.20,-20.10,34.50,118.61,
06/01/2021,01:07:03.61,633.79,-711.43,-354.49,0.18,0.18,-1.28,-173.25,-37.20,-20.10,34.55,118.61,
