rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:11:04.15,359.38,-955.08,-104.49,1.71,1.71,-0.12,-172.95,-39.30,-36.90,34.02,118.25,
06/01/2021,01:11:04.20,370.61,-954.59,-97.17,0.43,-0.43,0.49,-171.60,-38.85,-37.95,34.02,118.24,
06/01/2021,01:11:04.22,363.28,-962.89,-99.61,0.49,-2.20,0.61,-169.35,-39.60,-38.25,33.97,118.24,
06/01/2021,01:11:04.22,353.52,-955.08,-97.17,0.73,2.62,1.52,-169.35,-39.60,-38.25,34.21,118.24,
06/01/2021,01:11:04.23,372.56,-957.03,-92.29,0.12,2.07,0.67,-169.35,-39.60,-38.25,34.12,118.24,
06/01/2021,01:11:04.24,363.28,-964.84,-95.70,0.79,0.85,1.89,-171.90,-40.05,-39.45,34.21,118.24,
06/01/2021,01:11:04.25,363.28,-967.77,-99.61,1.65,-1.65,0.24,-171.90,-40.05,-39.45,33.88,118.24,
06/01/2021,01:11:04.26,367.19,-948.73,-91.31,2.87,0.73,0.49,-171.90,-40.05,-39.45,33.83,118.24,
06/01/2021,01:11:04.26,362.30,-950.68,-102.05,1.22,-2.26,-0.91,-171.15,-40.80,-41.10,34.21,118.24,
06/01/2021,01:11:04.27,366.21,-959.47,-96.19,2.56,2.38,1.04,-171.15,-40.80,-41.10,34.12,118.24,
06/01/2021,01:11:04.28,370.12,-958.50,-89.36,1.59,-0.79,0.00,-170.25,-38.25,-40.20,34.21,118.24,
06/01/2021,01:11:04.29,370.12,-969.73,-98.14,0.67,-0.30,-1.83,-170.25,-38.25,-40.20,34.02,118.24,
06/01/2021,01:11:04.29,361.33,-950.20,-101.07,-0.37,0.67,-0.49,-170.85,-39.30,-39.00,34.12,118.24,
06/01/2021,01:11:04.30,360.35,-962.89,-95.70,-0.24,-1.04,-1.22,-170.70,-38.70,-41.40,34.21,118.24,
06/01/2021,01:11:04.31,360.84,-951.17,-94.24,0.67,-0.43,0.55,-170.70,-38.70,-41.40,33.88,118.24,
06/01/2021,01:11:04.32,369.14,-946.29,-104.98,2.26,1.83,-2.01,-171.00,-40.20,-39.60,33.88,118.24,
06/01/2021,01:11:04.33,358.40,-960.45,-82.03,1.04,-2.62,2.44,-171.00,-40.20,-39.60,33.78,118.24,
06/01/2021,01:11:04.33,361.82,-964.84,-91.31,2.32,-0.24,1.28,-172.65,-38.55,-40.50,34.02,118.24,
06/01/2021,01:11:04.34,354.49,-952.64,-82.52,0.30,-1.89,1.46,-171.60,-38.10,-41.10,34.12,118.24,
06/01/2021,01:11:04.35,360.35,-957.52,-90.33,-1.89,-0.12,-1.40,-171.60,-38.10,-41.10,34.31,118.24,
06/01/2021,01:11:04.35,364.75,-957.52,-98.14,-0.55,0.24,1.46,-171.75,-38.25,-41.40,34.12,118.24,
06/01/2021,01:11:04.37,362.30,-960.45,-102.05,3.05,0.00,0.49,-169.20,-39.00,-42.45,34.12,118.24,
06/01/2021,01:11:04.37,356.45,-947.27,-86.43,0.43,-2.68,0.61,-173.25,-40.50,-40.20,34.02,118.24,
06/01/2021,01:11:04.38,367.68,-964.36,-104.49,0.37,-1.34,0.49,-173.25,-40.50,-40.20,34.02,118.24,
06/01/2021,01:11:04.38,357.91,-953.61,-99.12,2.07,-2.32,0.67,-173.25,-40.50,-40.20,34.16,118.24,
06/01/2021,01:11:04.39,367.19,-969.24,-104.98,1.77,-2.20,0.67,-170.40,-39.60,-40.05,33.88,118.24,
06/01/2021,01:11:04.41,363.77,-958.01,-107.42,1.22,0.06,0.43,-171.60,-38.55,-40.80,34.12,118.24,
06/01/2021,01:11:04.41,353.52,-965.33,-104.00,1.40,-3.48,0.37,-171.60,-38.55,-40.80,33.88,118.24,
06/01/2021,01:11:04.42,365.72,-963.87,-98.14,1.65,-2.01,1.16,-170.10,-39.30,-41.10,34.02,118.24,
06/01/2021,01:11:04.42,368.16,-957.52,-99.61,0.06,1.16,0.98,-170.10,-39.30,-41.10,33.97,118.24,
06/01/2021,01:11:04.43,354.49,-954.59,-91.80,1.04,-4.21,0.12,-171.30,-39.75,-41.40,34.02,118.24,
06/01/2021,01:11:04.45,376.95,-952.64,-88.87,2.74,-2.50,0.91,-171.30,-39.75,-41.40,34.02,118.24,
06/01/2021,01:11:04.45,358.89,-954.10,-93.26,0.43,0.73,-1.04,-172.95,-39.60,-39.45,34.02,118.24,
06/01/2021,01:11:04.46,364.75,-952.64,-95.21,-1.16,-2.07,-2.07,-169.80,-38.85,-40.80,34.12,118.24,
06/01/2021,01:11:04.46,367.19,-950.68,-104.98,1.22,-1.46,1.04,-169.80,-38.85,-40.80,33.97,118.24,
06/01/2021,01:11:04.47,346.19,-953.61,-90.82,1.10,-1.22,2.01,-169.80,-38.85,-40.80,34.12,118.24,
