rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:10:03.64,281.25,-930.66,-18.55,8.17,-41.59,-54.76,-168.45,-39.75,-7.05,34.40,118.32,
06/01/2021,01:10:03.69,253.91,-839.84,-11.72,5.61,-19.27,-44.76,-169.95,-37.95,-9.15,34.21,118.31,
06/01/2021,01:10:03.71,282.71,-812.50,11.23,0.24,-16.34,-39.76,-170.10,-37.05,-7.50,34.21,118.31,
06/01/2021,01:10:03.71,283.20,-815.92,-4.88,0.67,-15.49,-40.18,-170.10,-37.05,-7.50,34.50,118.31,
06/01/2021,01:10:03.72,250.49,-812.50,16.11,0.30,-13.54,-34.33,-170.10,-37.05,-7.50,34.36,118.31,
06/01/2021,01:10:03.74,254.88,-781.74,14.16,-2.62,-16.10,-30.79,-169.20,-35.70,-10.50,34.50,118.31,
06/01/2021,01:10:03.74,248.05,-783.20,16.60,-2.80,-11.10,-26.10,-169.35,-37.80,-9.00,34.40,118.31,
06/01/2021,01:10:03.75,259.28,-783.20,17.09,-2.13,-10.49,-25.61,-169.35,-37.80,-9.00,34.21,118.31,
06/01/2021,01:10:03.75,248.54,-770.02,34.18,-4.57,-10.85,-19.33,-169.35,-37.80,-9.00,34.31,118.31,
06/01/2021,01:10:03.76,242.19,-780.27,27.83,-6.22,-7.50,-21.34,-169.05,-36.30,-9.00,34.31,118.31,
06/01/2021,01:10:03.77,241.21,-777.34,40.04,-5.67,-2.44,-9.21,-169.05,-34.80,-11.85,34.55,118.31,
06/01/2021,01:10:03.78,229.49,-756.84,29.30,-5.06,2.93,-5.79,-170.70,-35.70,-8.40,34.21,118.31,
06/01/2021,01:10:03.79,237.79,-774.90,29.30,-7.93,4.45,-2.13,-169.80,-35.55,-10.05,34.16,118.31,
06/01/2021,01:10:03.79,242.68,-779.79,41.50,-7.32,5.73,-0.18,-169.80,-35.55,-10.05,34.21,118.31,
06/01/2021,01:10:03.80,241.21,-771.97,37.11,-8.66,11.28,1.40,-169.95,-34.95,-10.95,34.40,118.31,
06/01/2021,01:10:03.81,259.28,-778.81,54.20,-8.35,16.10,10.18,-167.25,-35.10,-10.65,34.16,118.31,
06/01/2021,01:10:03.82,248.54,-764.16,48.34,-7.74,16.34,15.67,-169.95,-37.50,-9.45,34.21,118.31,
06/01/2021,01:10:03.83,247.56,-778.32,51.76,-9.27,19.09,18.54,-168.15,-34.95,-9.45,34.31,118.31,
06/01/2021,01:10:03.83,246.58,-773.44,73.24,-7.32,22.74,23.66,-168.15,-34.95,-9.45,34.50,118.32,
06/01/2021,01:10:03.84,263.67,-771.00,61.04,-8.23,21.28,28.66,-167.55,-34.35,-11.10,34.40,118.32,
06/01/2021,01:10:03.84,261.23,-791.99,57.13,-8.60,24.39,26.95,-167.55,-34.35,-11.10,34.31,118.32,
06/01/2021,01:10:03.86,290.04,-793.95,56.64,-4.33,23.84,42.44,-169.20,-37.20,-8.70,34.40,118.31,
06/01/2021,01:10:03.87,293.46,-822.75,52.73,-5.79,27.07,47.44,-171.15,-37.35,-9.00,34.21,118.32,
06/01/2021,01:10:03.87,308.11,-835.94,67.87,-5.79,19.51,49.94,-171.15,-37.35,-9.00,34.31,118.32,
06/01/2021,01:10:03.88,307.62,-838.38,55.66,-4.82,21.95,55.12,-171.15,-37.35,-9.00,34.40,118.32,
06/01/2021,01:10:03.88,324.71,-841.31,62.50,-3.72,18.11,58.29,-171.15,-37.35,-9.00,34.50,118.32,
06/01/2021,01:10:03.90,338.87,-904.30,37.60,-3.41,11.95,72.68,-168.45,-37.50,-8.40,34.21,118.32,
06/01/2021,01:10:03.90,354.98,-932.13,43.46,-3.54,8.90,76.89,-168.45,-37.50,-8.40,34.21,118.32,
06/01/2021,01:10:03.91,344.73,-939.45,21.97,-3.54,6.65,80.55,-168.45,-37.50,-8.40,34.36,118.32,
06/01/2021,01:10:03.92,360.84,-961.91,21.97,-2.74,2.62,85.43,-169.05,-38.55,-9.30,34.02,118.32,
06/01/2021,01:10:03.92,383.30,-990.72,12.21,-4.09,1.83,91.04,-169.05,-38.55,-9.30,34.36,118.32,
06/01/2021,01:10:03.94,412.11,-1025.88,-27.34,-5.18,-6.22,99.33,-167.55,-38.55,-8.55,34.40,118.32,
06/01/2021,01:10:03.94,402.83,-1059.08,-29.30,-4.70,-9.70,101.95,-167.55,-38.55,-8.55,34.21,118.32,
06/01/2021,01:10:03.95,420.41,-1066.41,-46.39,-6.34,-10.37,106.10,-167.25,-39.30,-9.00,34.40,118.32,
06/01/2021,01:10:03.96,423.34,-1095.21,-52.73,-5.85,-9.82,109.57,-167.55,-38.55,-9.00,34.50,118.32,
06/01/2021,01:10:03.96,454.59,-1123.05,-64.45,-7.20,-9.39,109.63,-167.55,-38.55,-9.00,34.50,118.32,
06/01/2021,01:10:03.98,483.40,-1212.89,-52.73,-6.04,-13.84,116.40,-167.25,-42.90,-7.95,34.21,118.32,
06/01/2021,01:10:03.98,505.86,-1265.14,-62.50,-4.39,-13.60,118.90,-167.25,-42.90,-7.95,34.31,118.32,
06/01/2021,01:10:03.99,530.76,-1300.29,-69.34,-6.83,-16.34,115.61,-166.80,-42.15,-9.00,34.36,118.32,
06/01/2021,01:10:04.00,555.66,-1329.10,-89.84,-4.09,-18.96,114.45,-165.75,-43.35,-11.10,34.64,118.32,
06/01/2021,01:10:04.00,570.31,-1333.50,-94.73,-3.11,-21.77,112.80,-165.75,-43.35,-11.10,34.31,118.32,
06/01/2021,01:10:04.02,635.74,-1333.01,-162.11,2.50,-29.39,100.43,-166.80,-44.40,-8.55,34.36,118.32,
06/01/2021,01:10:04.02,644.53,-1312.50,-182.13,3.05,-32.99,93.60,-166.80,-44.40,-8.55,34.31,118.32,
06/01/2021,01:10:04.03,636.23,-1276.37,-212.40,5.67,-34.88,88.60,-168.00,-45.15,-10.05,34.36,118.32,
06/01/2021,01:10:04.04,624.02,-1266.60,-223.63,8.90,-35.37,81.46,-168.00,-45.15,-10.05,34.21,118.32,
06/01/2021,01:10:04.04,607.42,-1236.33,-238.28,8.54,-40.18,72.74,-168.00,-45.15,-10.05,34.21,118.32,
06/01/2021,01:10:04.06,558.11,-1104.98,-285.16,9.02,-31.10,52.62,-164.85,-45.75,-8.40,34.40,118.32,
06/01/2021,01:10:04.06,536.13,-1062.50,-304.69,6.71,-26.34,42.20,-164.85,-45.75,-8.40,34.21,118.32,
06/01/2021,01:10:04.07,509.77,-1012.21,-313.48,7.99,-21.77,34.88,-164.85,-45.75,-8.40,34.16,118.32,
06/01/2021,01:10:04.08,473.63,-959.96,-324.22,5.98,-9.88,26.16,-165.90,-44.25,-9.15,34.12,118.32,
06/01/2021,01:10:04.08,449.22,-911.62,-329.10,4.57,-2.93,21.95,-165.90,-44.25,-9.15,34.16,118.32,
06/01/2021,01:10:04.10,412.11,-842.77,-312.50,2.07,22.74,3.90,-164.85,-47.25,-11.25,34.21,118.32,
06/01/2021,01:10:04.10,400.39,-838.38,-296.88,-2.44,31.89,0.79,-164.85,-47.25,-11.25,34.31,118.32,
06/01/2021,01:10:04.11,406.25,-840.33,-274.41,-4.57,41.77,-5.12,-167.25,-47.40,-8.25,34.21,118.32,
06/01/2021,01:10:04.11,388.67,-826.66,-247.56,-6.34,51.28,-9.09,-165.30,-46.20,-10.95,34.36,118.32,
06/01/2021,01:10:04.12,389.16,-839.36,-223.14,-7.32,60.30,-14.45,-165.30,-46.20,-10.95,34.31,118.32,
06/01/2021,01:10:04.14,395.51,-893.55,-279.30,-18.78,79.76,-21.89,-167.55,-46.35,-7.95,34.21,118.32,
06/01/2021,01:10:04.14,432.62,-932.13,-279.79,-21.59,86.83,-29.33,-167.55,-46.35,-7.95,34.21,118.32,
06/01/2021,01:10:04.15,460.94,-935.06,-282.71,-27.13,93.60,-35.49,-165.75,-45.60,-8.25,34.31,118.32,
06/01/2021,01:10:04.18,421.88,-1018.07,-229.98,-37.68,104.51,-39.09,-165.90,-48.30,-5.55,34.31,118.32,
06/01/2021,01:10:04.20,399.90,-1065.92,-195.31,-38.54,110.91,-41.16,-166.20,-48.60,-5.40,34.21,118.31,
06/01/2021,01:10:04.21,392.09,-1051.76,-118.16,-36.65,114.88,-41.77,-164.55,-48.00,-5.25,34.12,118.31,
06/01/2021,01:10:04.22,386.72,-1019.04,-104.49,-37.62,111.40,-44.39,-164.55,-48.00,-5.25,34.02,118.31,
06/01/2021,01:10:04.23,379.39,-986.33,-64.45,-33.35,108.48,-40.30,-163.95,-45.90,-6.45,34.21,118.31,
06/01/2021,01:10:04.23,380.86,-950.20,-34.67,-34.27,107.56,-43.78,-163.95,-45.90,-6.45,34.31,118.31,
06/01/2021,01:10:04.24,384.77,-923.83,-36.62,-30.55,105.43,-40.67,-162.90,-47.10,-5.70,34.36,118.31,
06/01/2021,01:10:04.25,381.35,-885.25,-7.32,-25.06,88.66,-43.54,-163.95,-46.65,-5.10,34.36,118.31,
06/01/2021,01:10:04.26,373.05,-837.40,-2.93,-22.38,85.85,-43.05,-163.95,-46.65,-5.10,34.40,118.31,
